Sample,X,Y,Z
0,-0.012,-0.039,-1.082
1,-0.020,-0.023,-0.961
2,-0.020,-0.023,-0.957
3,-0.012,-0.027,-0.957
4,-0.020,-0.023,-0.965
5,-0.016,-0.020,-0.953
6,-0.020,-0.023,-0.957
7,-0.016,-0.027,-0.953
8,-0.016,-0.027,-0.953
9,-0.023,-0.027,-0.961
10,-0.016,-0.031,-0.953
11,-0.020,-0.023,-0.961
12,-0.008,-0.023,-0.949
13,-0.020,-0.027,-0.953
14,-0.031,-0.027,-0.961
15,-0.008,-0.016,-0.949
16,-0.008,-0.023,-0.953
17,-0.016,-0.023,-0.957
18,-0.027,-0.035,-0.953
19,-0.016,-0.020,-0.957
20,-0.055,-0.027,-0.965
21,-0.020,-0.020,-0.957
22,-0.023,-0.023,-0.953
23,-0.023,-0.020,-0.957
24,-0.020,-0.027,-0.957
25,-0.016,-0.020,-0.961
26,-0.027,-0.027,-0.961
27,-0.016,-0.023,-0.953
28,-0.016,-0.031,-0.953
29,-0.020,-0.031,-0.949
30,-0.023,-0.031,-0.953
31,-0.016,-0.027,-0.961
32,-0.016,-0.020,-0.957
33,-0.023,-0.023,-0.953
34,-0.016,-0.020,-0.953
35,-0.023,-0.027,-0.949
36,-0.020,-0.027,-0.957
37,-0.023,-0.031,-0.957
38,-0.012,-0.020,-0.949
39,-0.023,-0.023,-0.961
40,0.020,-0.023,-0.961
41,-0.023,-0.039,-0.949
42,-0.023,-0.023,-0.957
43,-0.023,-0.023,-0.961
44,-0.023,-0.031,-0.957
45,-0.020,-0.027,-0.957
46,-0.023,-0.023,-0.957
47,-0.020,-0.020,-0.957
48,-0.023,-0.027,-0.949
49,-0.020,-0.027,-0.953
50,-0.020,-0.027,-0.961
51,-0.023,-0.035,-0.961
52,-0.012,-0.020,-0.953
53,-0.020,-0.027,-0.957
54,-0.023,-0.020,-0.957
55,-0.027,-0.027,-0.961
56,-0.016,-0.027,-0.953
57,-0.012,-0.121,-0.957
58,-0.047,-0.539,-0.953
59,-0.008,-0.840,-0.969
60,0.227,-0.840,-0.984
61,0.465,-0.820,-0.930
62,0.477,-1.055,-0.844
63,0.434,-1.207,-0.785
64,0.547,-1.051,-0.797
65,0.699,-0.598,-0.773
