Sample,X,Y,Z
0,-0.008,-0.031,-1.035
1,-0.012,-0.023,-0.957
2,-0.020,-0.035,-0.957
3,-0.031,-0.031,-0.953
4,-0.023,-0.012,-0.953
5,-0.008,-0.023,-0.953
6,-0.027,-0.035,-0.945
7,-0.027,-0.031,-0.961
8,-0.020,-0.023,-0.957
9,-0.008,-0.016,-0.953
10,-0.012,-0.027,-0.953
11,-0.012,-0.031,-0.953
12,-0.023,-0.027,-0.965
13,-0.008,-0.016,-0.949
14,-0.012,-0.031,-0.953
15,-0.023,-0.027,-0.957
16,-0.023,-0.027,-0.965
17,-0.023,-0.020,-0.957
18,-0.004,-0.031,-0.953
19,-0.027,-0.035,-0.957
20,-0.031,-0.031,-0.949
21,-0.023,-0.023,-0.957
22,-0.004,-0.023,-0.957
23,-0.020,-0.031,-0.953
24,-0.031,-0.027,-0.957
25,-0.016,-0.023,-0.957
26,-0.008,-0.020,-0.957
27,-0.020,-0.027,-0.949
28,-0.027,-0.023,-0.957
29,-0.027,-0.023,-0.957
30,-0.008,-0.020,-0.953
31,-0.016,-0.027,-0.965
32,-0.020,-0.023,-0.961
33,-0.016,-0.035,-0.957
34,-0.016,-0.027,-0.953
35,-0.008,-0.016,-0.949
36,-0.020,-0.023,-0.957
37,-0.023,-0.027,-0.953
38,-0.023,-0.027,-0.957
39,-0.004,-0.035,-0.953
40,-0.016,-0.020,-0.949
41,-0.027,-0.020,-0.953
42,-0.023,-0.023,-0.961
43,-0.020,-0.031,-0.953
44,-0.020,-0.016,-0.957
45,-0.012,-0.023,-0.953
46,-0.035,-0.031,-0.957
47,-0.023,-0.035,-0.957
48,-0.016,-0.023,-0.957
49,-0.016,-0.012,-0.961
50,-0.016,-0.027,-0.953
51,-0.020,-0.035,-0.957
52,-0.023,-0.027,-0.957
53,-0.016,-0.023,-0.957
54,-0.016,-0.023,-0.953
55,-0.020,-0.027,-0.965
56,-0.031,-0.031,-0.953
57,-0.023,-0.027,-0.949
58,-0.043,0.285,-0.945
59,-0.012,0.543,-0.980
60,0.031,0.594,-1.004
61,0.191,0.414,-0.969
62,0.305,0.492,-0.895
63,0.348,0.652,-0.832
64,0.359,0.926,-0.836
65,0.434,0.777,-0.953
66,0.590,0.562,-1.020
67,0.668,0.602,-0.996
68,0.703,0.578,-0.941
69,0.645,0.676,-0.898
70,0.762,0.496,-0.906
71,0.844,0.531,-0.918
72,0.848,0.516,-0.980
73,0.828,0.586,-1.008
74,0.879,0.305,-1.016
75,0.785,0.188,-1.047
76,0.762,0.168,-1.031
77,0.719,0.316,-0.992
78,0.637,0.449,-1.027
79,0.660,0.270,-1.020
80,0.621,0.113,-1.012
81,0.484,0.211,-0.961
82,0.457,0.375,-0.941
83,0.406,0.621,-0.945
84,0.375,0.500,-1.059
85,0.297,0.348,-0.992
86,0.234,0.473,-1.004
87,0.199,0.516,-0.992
88,0.297,0.328,-0.918
89,0.273,0.434,-0.926
90,0.324,0.539,-0.957
91,0.238,0.520,-0.910
92,0.203,0.562,-0.945
93,0.121,0.574,-0.977
94,0.137,0.555,-1.008
95,0.270,0.273,-1.066
96,0.348,0.090,-1.004
97,0.324,0.422,-0.887
98,0.242,0.652,-0.832
99,0.238,0.617,-0.941
100,0.371,0.098,-1.023
101,0.535,-0.039,-1.027
102,0.453,0.371,-0.914
103,0.449,0.773,-0.895
104,0.402,0.723,-0.941
105,0.648,0.238,-1.039
106,0.574,0.246,-0.980
107,0.578,0.414,-0.801
108,0.473,0.832,-0.953
109,0.539,0.543,-1.004
110,0.664,0.148,-0.992
111,0.492,0.344,-1.008
112,0.785,0.383,-0.977
113,0.742,0.781,-0.859
114,0.262,0.516,-0.957
115,0.402,0.352,-1.074
116,0.664,0.340,-1.059
117,0.727,0.406,-1.027
118,0.492,0.723,-0.914
119,0.426,0.340,-0.918
120,0.344,0.410,-0.852
121,0.508,0.125,-1.035
122,0.414,0.629,-1.129
123,0.426,0.660,-0.969
124,0.324,0.465,-0.996
125,0.344,0.230,-0.957
126,0.324,0.270,-0.887
127,0.410,0.312,-0.848
128,0.469,0.703,-0.980
129,0.328,0.688,-0.941
130,0.035,0.246,-1.055
131,0.090,0.328,-1.152
132,0.633,0.125,-1.012
133,0.352,0.383,-0.855
134,0.281,0.238,-0.887
135,0.320,0.105,-0.844
136,0.316,-0.078,-0.734
137,-0.035,-0.152,-0.980
138,0.211,0.449,-1.164
139,0.023,-0.273,-1.086
140,0.020,-0.434,-1.070
141,-0.207,-0.504,-0.996
142,0.098,-0.086,-0.871
143,-0.055,-0.383,-0.902
144,-0.285,-0.184,-0.875
145,-0.336,-0.094,-0.992
146,-0.477,-0.457,-1.055
147,-0.504,-0.355,-1.160
148,-0.285,-0.395,-0.953
149,-0.191,-0.230,-0.867
150,-0.402,0.055,-0.664
151,-0.574,0.340,-0.898
152,-0.293,0.371,-0.918
153,-0.293,0.086,-1.070
154,-0.176,-0.004,-1.012
155,-0.035,-0.113,-0.945
156,-0.250,0.008,-0.793
157,-0.172,0.211,-0.832
158,-0.047,0.262,-0.969
159,0.246,0.043,-1.012
160,0.082,-0.074,-1.035
161,0.137,0.027,-0.934
162,0.184,0.105,-0.758
163,-0.160,0.430,-0.957
164,0.066,-0.086,-0.992
165,0.285,-0.191,-1.098
166,0.355,-0.066,-1.004
167,0.234,-0.008,-0.828
168,-0.109,0.574,-0.816
169,0.328,-0.078,-0.973
170,0.047,-0.816,-0.938
171,0.312,-0.598,-1.152
172,0.184,-0.004,-0.965
173,0.094,0.453,-0.926
174,-0.094,0.012,-0.980
175,-0.059,-0.160,-1.012
176,0.176,-0.293,-0.918
177,-0.035,-0.391,-0.945
178,-0.160,0.070,-0.949
179,-0.094,0.246,-0.988
180,-0.312,0.145,-1.074
181,-0.082,-0.102,-1.102
182,-0.062,-0.332,-0.996
183,-0.035,0.035,-0.777
184,-0.074,0.234,-0.785
185,-0.332,0.121,-0.805
186,-0.359,0.039,-1.078
187,0.195,-0.395,-1.133
188,0.082,-0.352,-1.121
189,-0.227,0.277,-0.797
