Sample,X,Y,Z
0,-0.305,0.633,-0.848
1,-0.203,-0.285,-0.969
2,-0.273,-0.293,-0.953
3,-0.836,0.312,-0.844
4,-1.145,0.883,-0.902
5,-0.785,0.859,-1.051
6,-0.340,0.363,-1.051
7,-0.414,0.059,-0.961
8,-0.922,0.379,-0.875
9,-1.184,0.758,-0.875
10,-0.859,0.680,-0.949
11,-0.309,0.168,-0.988
12,-0.109,-0.258,-0.992
13,-0.246,-0.258,-0.910
14,-0.695,0.062,-0.844
15,-1.449,-0.156,-0.836
16,-1.594,-0.746,-0.926
17,-0.793,-0.723,-0.969
18,0.207,-0.410,-1.039
19,0.406,-0.398,-0.938
20,-0.668,-0.543,-0.824
21,-1.863,-0.730,-0.785
22,-1.656,-0.918,-0.938
23,-0.203,-0.652,-1.047
24,0.750,-0.461,-1.016
25,-0.320,-0.477,-0.863
26,-0.988,-0.289,-0.832
27,-0.785,-0.254,-0.965
28,-0.617,-0.207,-0.934
29,-0.035,-0.375,-0.855
30,0.414,-0.848,-0.977
31,0.023,-0.707,-0.906
32,-0.500,-0.379,-0.867
33,-0.289,-1.055,-1.004
34,-0.047,-1.199,-0.965
35,-0.102,-1.039,-1.016
36,0.027,-0.711,-1.082
37,0.398,-0.324,-0.883
38,0.414,-0.238,-0.758
39,0.012,-0.727,-0.766
40,-0.301,-0.637,-0.965
41,-0.180,-0.234,-1.242
42,0.410,-0.039,-1.199
43,0.766,-0.578,-1.070
44,0.004,-0.621,-0.953
45,-0.750,-0.520,-0.738
46,-0.613,0.301,-0.883
47,-0.020,-0.121,-1.031
48,0.090,-0.379,-0.902
49,-0.191,-0.496,-0.938
50,-0.324,-0.531,-1.039
51,-0.383,-0.555,-0.969
52,-0.234,-0.500,-0.914
53,-0.188,-0.766,-0.969
54,-0.355,-0.727,-0.938
55,-0.680,-0.082,-1.035
56,-0.500,-0.066,-1.031
57,-0.270,-0.238,-0.984
58,-0.492,-0.656,-0.914
59,-0.648,-0.801,-0.848
60,-0.660,-0.340,-0.957
61,-0.477,-0.160,-1.086
62,-0.211,-0.754,-0.980
63,-0.367,-0.898,-0.984
64,-0.465,-0.879,-0.938
65,-0.609,-0.414,-0.875
66,-0.480,-0.234,-0.895
67,-0.074,-0.875,-0.984
68,0.008,-0.695,-1.016
69,-0.285,-0.383,-0.980
70,-0.379,0.102,-0.922
71,-0.281,0.715,-0.953
72,-0.062,0.570,-1.008
73,0.391,0.527,-1.051
74,-0.215,-0.031,-0.922
75,-0.203,0.992,-0.531
76,0.258,0.449,-0.938
77,0.035,1.152,-0.906
78,0.613,0.895,-1.066
79,0.957,0.891,-1.199
80,0.473,0.836,-1.020
81,0.320,0.641,-0.812
82,0.555,0.211,-0.801
83,0.648,0.359,-0.906
84,0.816,0.984,-0.953
85,0.969,0.781,-1.082
86,0.973,0.469,-1.094
87,0.930,0.266,-1.031
88,0.684,0.328,-0.957
89,0.500,0.617,-0.922
90,0.453,1.207,-1.016
91,0.789,0.723,-1.027
92,0.707,0.230,-1.020
93,0.312,0.199,-0.883
94,0.289,0.234,-0.895
95,0.375,0.359,-0.977
96,0.328,0.195,-1.031
97,0.406,0.113,-0.992
98,0.352,0.086,-0.980
99,0.031,0.184,-0.969
100,-0.105,0.340,-0.914
101,0.113,0.266,-0.926
102,-0.016,0.137,-1.062
103,-0.199,-0.070,-1.043
104,-0.129,0.051,-1.059
105,-0.051,0.516,-0.938
106,-0.090,0.719,-0.926
107,-0.215,0.480,-0.828
108,-0.312,0.273,-0.844
109,-0.086,0.785,-0.930
110,0.188,1.219,-1.051
111,0.234,1.465,-0.992
112,-0.152,1.164,-0.961
113,-0.703,0.773,-1.070
114,-1.133,0.484,-1.078
115,-0.887,0.473,-1.055
116,-0.289,0.535,-0.945
117,-0.469,0.375,-0.773
118,-1.074,-0.184,-0.734
119,-1.539,-0.695,-0.887
120,-1.301,-0.766,-0.918
121,-0.656,-0.109,-1.207
122,-0.484,-0.242,-1.062
123,-1.059,-0.680,-1.031
124,-1.504,-1.207,-0.969
125,-1.355,-0.555,-0.777
126,-0.809,0.207,-0.836
127,-0.680,0.148,-0.754
128,-1.121,-0.824,-0.863
129,-1.438,-1.262,-0.926
130,-0.742,-0.836,-0.891
131,0.027,-0.074,-0.992
132,-0.137,-0.488,-1.012
133,-0.738,-0.988,-0.832
134,-0.891,-0.836,-1.000
135,-0.301,0.023,-0.926
