Sample,X,Y,Z
0,0.023,0.020,-1.098
1,0.000,0.000,-0.973
2,0.004,-0.004,-0.973
3,-0.004,0.000,-0.973
4,0.000,0.004,-0.973
5,0.000,0.008,-0.977
6,0.012,0.000,-0.969
7,0.004,-0.004,-0.977
8,0.000,0.004,-0.965
9,-0.004,0.004,-0.965
10,-0.016,0.008,-0.980
11,-0.004,0.000,-0.965
12,0.004,0.004,-0.973
13,0.012,0.008,-0.973
14,-0.008,0.004,-0.965
15,-0.008,0.000,-0.973
16,0.004,0.004,-0.977
17,0.004,0.004,-0.973
18,-0.004,0.004,-0.965
19,-0.004,0.004,-0.965
20,-0.020,0.004,-0.961
21,-0.008,0.004,-0.969
22,0.004,0.004,-0.969
23,-0.008,0.012,-0.965
24,-0.004,0.000,-0.973
25,0.008,0.008,-0.969
26,0.000,0.004,-0.977
27,0.008,0.000,-0.973
28,-0.004,-0.004,-0.973
29,0.008,0.012,-0.969
30,0.008,0.004,-0.969
31,-0.004,0.000,-0.961
32,0.000,0.000,-0.980
33,-0.008,0.008,-0.965
34,0.004,0.012,-0.965
35,0.000,0.000,-0.973
36,0.000,0.000,-0.973
37,0.004,0.004,-0.973
38,0.000,0.004,-0.965
39,-0.016,-0.004,-0.973
40,0.059,0.012,-0.977
41,0.000,0.020,-0.980
42,0.012,0.008,-0.973
43,0.000,0.004,-0.965
44,-0.012,0.004,-0.965
45,-0.004,-0.004,-0.965
46,0.000,0.004,-0.973
47,0.020,0.012,-0.977
48,0.008,0.008,-0.977
49,-0.004,0.000,-0.969
50,-0.016,-0.008,-0.969
51,-0.012,0.004,-0.965
52,0.004,0.004,-0.973
53,0.008,0.008,-0.980
54,0.016,0.008,-0.973
55,-0.012,0.004,-0.965
56,-0.016,-0.008,-0.969
57,-0.004,0.043,-0.965
58,-0.023,0.145,-0.961
59,-0.008,0.109,-0.969
60,0.180,0.207,-0.984
61,0.344,0.211,-0.969
62,0.445,-0.020,-0.922
63,0.586,-0.090,-0.812
64,0.707,-0.062,-0.871
65,0.773,-0.168,-0.953
66,0.902,-0.238,-1.039
67,1.172,-0.223,-1.098
