Sample,X,Y,Z
0,-0.004,-0.012,-1.023
1,-0.004,-0.008,-0.969
2,0.000,0.004,-0.969
3,0.000,0.000,-0.965
4,0.004,0.000,-0.973
5,0.004,0.008,-0.969
6,0.000,0.004,-0.969
7,0.000,0.000,-0.977
8,0.008,0.012,-0.973
9,0.004,0.012,-0.973
10,0.000,-0.004,-0.965
11,-0.004,-0.008,-0.977
12,0.004,0.012,-0.973
13,0.004,0.004,-0.977
14,0.004,-0.008,-0.973
15,0.004,-0.004,-0.973
16,-0.004,0.012,-0.969
17,0.004,0.008,-0.977
18,0.000,0.000,-0.965
19,0.008,0.020,-0.973
20,-0.023,0.016,-0.965
21,0.004,0.004,-0.973
22,0.008,0.004,-0.969
23,0.000,-0.004,-0.965
24,-0.008,-0.008,-0.973
25,0.000,0.008,-0.980
26,0.004,0.012,-0.969
27,-0.004,0.000,-0.969
28,-0.012,-0.008,-0.965
29,-0.008,0.008,-0.973
30,-0.004,0.012,-0.969
31,0.008,0.008,-0.969
32,0.008,0.000,-0.977
33,0.000,-0.004,-0.969
34,-0.016,0.000,-0.973
35,-0.012,0.004,-0.969
36,0.000,0.000,-0.977
37,0.016,0.016,-0.969
38,0.004,0.000,-0.965
39,-0.004,0.004,-0.973
40,-0.004,0.008,-0.965
41,-0.004,0.012,-0.969
42,0.000,0.008,-0.977
43,0.008,-0.012,-0.961
44,0.004,0.000,-0.965
45,-0.004,-0.004,-0.973
46,0.004,0.008,-0.969
47,0.008,0.020,-0.965
48,0.000,-0.004,-0.969
49,0.004,0.000,-0.965
50,-0.004,0.012,-0.961
51,0.004,0.008,-0.973
52,0.000,0.000,-0.969
53,0.004,0.008,-0.977
54,0.012,0.004,-0.973
55,0.004,-0.004,-0.965
56,-0.004,-0.004,-0.969
57,0.000,0.027,-0.977
58,0.008,-0.031,-0.961
59,-0.020,-0.578,-0.938
60,-0.082,-1.035,-0.922
61,-0.086,-1.445,-0.906
62,-0.078,-1.477,-0.930
63,-0.059,-1.289,-1.012
64,0.113,-1.125,-1.066
65,0.316,-0.906,-1.105
66,0.305,-0.590,-1.070
67,0.074,-0.223,-0.988
68,-0.109,0.176,-0.949
69,-0.086,0.406,-0.930
70,-0.121,0.055,-0.871
71,-0.199,-0.488,-0.863
72,-0.203,-0.809,-0.820
73,-0.223,-0.980,-0.883
74,-0.156,-1.109,-1.004
75,0.211,-1.301,-1.129
76,0.551,-1.137,-1.102
77,0.375,-0.812,-1.055
78,-0.016,-0.633,-0.980
79,-0.250,-0.309,-1.012
80,-0.035,0.055,-1.020
81,0.023,0.004,-0.922
82,-0.066,-0.281,-0.793
83,-0.184,-0.445,-0.805
84,-0.156,-0.254,-0.883
85,-0.145,-0.895,-1.031
86,-0.188,-0.887,-1.172
87,0.383,-1.051,-1.008
88,0.500,-1.102,-0.855
89,-0.004,-0.926,-0.922
90,-0.293,-0.789,-0.977
91,-0.320,-0.527,-1.172
92,0.180,-0.359,-1.242
93,0.633,-0.465,-0.750
94,-0.094,-0.410,-0.777
95,-0.410,-0.398,-0.797
96,-0.180,-0.316,-0.914
97,-0.488,-0.281,-1.172
98,0.160,-0.770,-1.059
99,0.766,-0.895,-0.859
100,0.117,-0.672,-1.016
101,-0.078,-0.852,-0.863
102,-0.418,-0.715,-0.977
103,-0.453,-0.762,-1.176
104,0.551,-0.891,-0.930
105,0.426,-0.707,-0.891
106,-0.102,-0.492,-1.039
107,0.027,-0.363,-0.828
108,-0.477,-0.270,-1.066
109,-0.258,-0.488,-1.062
110,0.492,-0.527,-0.754
111,0.059,-0.367,-1.000
112,-0.055,-0.422,-0.969
113,-0.078,-0.742,-0.934
114,-0.469,-0.855,-1.141
115,0.316,-0.871,-0.934
116,0.352,-0.688,-0.871
117,-0.273,-0.480,-1.016
118,-0.102,-0.488,-0.980
119,-0.102,-0.488,-0.980
120,0.066,-0.812,-1.012
121,-0.086,-0.746,-1.098
122,0.195,-0.625,-0.871
123,0.094,-0.516,-0.781
124,-0.254,-0.477,-1.004
125,-0.094,-0.762,-0.961
126,0.059,-0.617,-1.129
127,0.332,-0.223,-1.062
128,0.215,-0.402,-0.871
129,-0.262,-0.621,-0.902
130,-0.125,-0.719,-0.938
131,0.074,-0.766,-0.918
132,-0.223,-0.824,-1.000
133,-0.137,-0.746,-0.926
134,0.277,-0.547,-0.918
135,0.168,-0.332,-1.086
136,0.074,-0.535,-1.012
137,-0.199,-0.652,-1.020
138,-0.035,-0.578,-1.008
