Sample,X,Y,Z
0,-0.051,-0.027,-1.082
1,-0.051,-0.004,-0.945
2,0.000,-0.305,-0.945
3,0.035,-0.703,-0.945
4,0.117,-0.613,-0.961
5,0.348,-0.449,-0.973
6,0.496,-0.473,-0.961
7,0.328,-0.738,-0.949
8,0.254,-0.703,-0.938
9,0.457,-0.336,-0.926
10,0.805,-0.043,-0.945
11,0.852,-0.160,-1.020
12,0.520,-0.758,-1.230
13,0.375,-0.535,-0.914
14,0.660,-0.375,-0.871
15,1.074,-0.969,-0.832
16,0.633,-1.062,-1.020
17,0.551,-1.211,-0.914
18,0.891,-1.438,-0.922
19,0.938,-0.691,-0.828
20,0.816,0.090,-1.062
21,1.195,-0.648,-1.113
22,1.020,-1.203,-1.109
23,0.457,-0.820,-0.945
24,0.375,-0.500,-0.848
25,0.637,-0.488,-0.754
26,0.398,-0.555,-0.906
27,0.266,-0.984,-1.008
28,0.324,-1.035,-1.043
29,0.531,-0.570,-0.961
30,0.691,-0.254,-0.926
31,0.496,-0.484,-1.066
32,0.473,-0.629,-0.938
33,0.422,-0.668,-1.016
34,0.594,-0.301,-0.992
35,0.531,0.043,-1.098
36,0.500,-0.156,-1.027
37,0.188,-0.641,-1.004
38,-0.074,-0.379,-0.871
39,-0.074,-0.379,-0.871
40,-0.023,-0.309,-0.820
41,0.020,-0.113,-0.898
42,0.215,-0.316,-0.918
43,0.207,-0.445,-0.953
44,0.277,-0.324,-0.984
45,0.391,-0.340,-1.055
46,0.570,-0.480,-1.059
47,0.457,-0.711,-1.035
48,0.332,-0.781,-0.918
49,-0.656,-0.551,-0.875
50,-0.078,0.324,-0.449
51,1.449,-0.398,-1.309
52,0.180,-0.078,-1.180
53,-0.285,-0.711,-0.996
54,0.422,-0.871,-0.832
55,0.801,-0.734,-1.031
56,0.387,-0.770,-0.637
57,0.078,-0.824,-0.754
58,0.777,-0.941,-0.906
59,0.914,-1.008,-0.945
60,0.859,-0.859,-1.105
61,0.699,0.125,-1.148
62,0.844,-0.105,-1.242
63,0.793,-0.840,-1.098
64,0.336,-1.016,-0.965
65,0.395,-0.734,-0.754
66,0.590,-0.656,-0.812
67,0.695,-0.926,-0.793
68,0.652,-0.852,-0.836
69,0.492,-0.773,-0.965
70,0.738,-0.727,-1.125
71,1.062,-0.039,-1.105
72,0.699,-0.309,-1.105
73,0.891,-0.617,-1.180
74,0.879,-0.527,-1.082
75,0.352,-0.523,-0.871
76,0.609,-0.684,-0.773
77,0.918,-0.527,-0.836
78,0.434,-0.586,-1.164
79,0.617,-0.641,-0.836
80,0.453,-0.359,-1.199
81,0.707,-0.562,-1.191
82,0.629,-0.219,-1.047
83,0.215,0.285,-0.934
84,0.473,0.062,-0.973
85,0.320,-0.113,-0.859
86,-0.238,0.371,-1.105
87,0.062,0.020,-0.840
88,0.152,0.230,-0.984
89,-0.109,0.184,-1.055
90,-0.559,0.391,-0.945
91,-1.191,0.066,-1.113
92,-0.801,-0.574,-0.793
93,-0.652,-0.297,-0.867
94,-0.496,0.789,-0.836
95,-0.582,0.680,-0.844
96,-0.762,0.160,-0.723
97,-1.328,0.164,-0.863
98,-1.219,0.246,-0.875
99,-0.473,0.211,-1.020
100,0.293,0.277,-1.023
101,0.184,0.086,-0.891
102,-0.738,0.352,-0.895
103,-0.590,-0.414,-0.859
104,-0.102,-0.164,-1.098
105,0.359,0.145,-1.305
106,0.672,0.059,-1.121
107,0.133,-0.012,-0.793
108,-0.414,-0.359,-0.773
109,-0.391,-0.219,-0.840
110,0.012,0.133,-0.719
111,0.504,-0.082,-1.062
112,0.484,0.109,-1.117
113,0.902,-0.320,-1.164
114,0.777,-0.086,-0.922
115,0.488,-0.031,-0.977
116,0.238,0.125,-0.742
117,0.020,-0.207,-0.859
118,0.230,-0.402,-0.965
119,0.516,-0.484,-1.062
120,0.426,-0.227,-1.078
121,0.520,0.094,-1.027
122,0.344,0.301,-0.832
123,-0.367,0.098,-0.844
124,-0.336,-0.230,-0.758
125,-0.129,-0.516,-1.199
126,0.355,-0.266,-1.125
127,0.234,0.152,-1.105
128,0.012,0.488,-0.863
129,-0.438,0.297,-0.934
130,-0.750,-0.145,-0.836
131,-0.781,-0.316,-0.910
132,-0.266,0.125,-0.875
133,-0.398,-0.020,-0.938
134,-0.488,-0.082,-0.844
135,-0.703,-0.102,-1.020
136,-0.484,-0.254,-0.840
137,-0.328,-0.113,-1.082
138,0.152,0.090,-1.020
139,0.152,0.090,-1.020
140,0.109,-0.016,-1.250
141,0.211,-0.445,-0.758
142,-0.074,0.535,-1.055
143,-0.195,0.195,-0.848
144,0.000,0.223,-0.848
145,0.207,0.332,-0.996
146,0.117,0.203,-1.082
147,-0.035,-0.035,-0.859
148,-0.148,-0.281,-0.867
149,-0.438,-0.184,-0.797
150,-0.160,0.012,-0.875
151,0.184,0.684,-1.000
152,0.465,-0.066,-1.039
153,0.160,-0.422,-1.027
154,0.102,-0.340,-0.832
155,0.062,0.051,-0.938
156,0.129,0.043,-1.004
157,0.453,0.176,-0.906
158,0.418,-0.223,-1.133
159,0.316,-0.355,-1.043
160,-0.070,-0.168,-1.004
161,0.008,0.043,-0.707
162,-0.277,0.320,-0.965
163,-0.258,-0.152,-0.750
164,-0.148,-0.328,-1.246
165,0.293,-0.227,-0.801
166,-0.293,-0.055,-1.117
167,-0.141,0.105,-0.715
168,-0.047,0.062,-1.004
169,-0.191,-0.230,-0.941
170,-0.078,-0.371,-0.930
171,0.090,-0.211,-0.996
172,-0.035,-0.145,-1.121
173,-0.145,0.102,-0.906
174,-0.254,0.191,-0.953
175,-0.617,-0.086,-1.020
176,-0.324,-0.027,-0.805
177,-0.121,0.891,-0.949
178,0.211,0.176,-0.887
179,-0.180,0.168,-0.934
180,-0.258,-0.109,-0.820
181,-0.242,-0.348,-0.949
182,0.051,-0.461,-0.957
183,0.242,-0.004,-1.133
184,0.500,0.164,-1.070
185,0.457,0.141,-1.031
186,-0.172,-0.062,-0.965
187,-0.480,-0.184,-0.922
188,-0.215,0.004,-0.941
189,0.270,-0.035,-0.875
190,0.195,0.406,-0.863
191,-0.258,-0.027,-1.012
192,-0.023,-0.328,-0.824
193,0.047,-0.238,-1.172
194,0.227,-0.109,-0.945
195,-0.012,0.090,-0.953
196,0.152,0.023,-0.867
197,-0.035,-0.273,-1.051
198,0.062,-0.336,-0.840
199,-0.023,-0.023,-0.988
200,-0.152,0.137,-0.930
201,0.020,0.012,-0.973
202,-0.070,0.422,-0.973
203,0.004,-0.238,-1.000
204,0.047,-0.117,-0.969
205,-0.004,0.004,-0.766
206,-0.309,0.004,-0.926
207,0.035,0.062,-0.910
208,0.090,-0.066,-1.051
209,-0.070,-0.195,-1.125
210,-0.062,-0.043,-1.051
211,0.125,-0.180,-0.988
212,0.121,0.055,-0.918
213,-0.105,0.117,-0.723
214,-0.512,-0.055,-0.762
215,-0.336,-0.254,-1.074
216,0.203,-0.234,-1.031
217,0.199,0.184,-1.164
218,0.223,0.344,-1.008
219,0.031,0.246,-0.965
220,-0.094,-0.156,-0.797
221,-0.102,-0.344,-0.750
222,-0.434,-0.074,-0.961
223,-0.195,-0.047,-1.121
224,0.473,0.047,-1.043
225,0.258,0.004,-1.164
226,-0.004,-0.246,-1.051
227,-0.074,-0.090,-0.703
228,-0.062,0.242,-0.883
229,-0.070,1.066,-0.996
230,0.293,-0.199,-0.777
231,-0.074,-0.617,-1.074
232,-0.449,-0.223,-1.020
233,0.031,-0.059,-0.871
234,0.191,0.188,-0.910
235,0.070,0.160,-1.051
236,0.031,-0.055,-0.812
237,0.020,-0.293,-1.066
238,0.117,-0.258,-1.109
239,0.203,0.031,-0.902
240,-0.109,0.109,-0.910
241,-0.531,0.109,-0.840
242,0.211,-0.027,-0.871
243,0.238,0.020,-1.117
244,-0.230,0.355,-1.004
245,0.047,0.086,-1.059
246,0.031,-0.016,-0.992
247,0.008,-0.352,-1.133
248,0.012,-0.203,-0.723
249,-0.449,0.070,-0.867
250,-0.117,-0.383,-0.875
251,0.094,-0.277,-1.000
252,0.223,0.078,-1.020
253,-0.086,0.121,-1.137
254,0.176,-0.090,-0.852
255,-0.160,-0.113,-0.988
256,-0.027,-0.055,-0.828
257,-0.016,0.223,-0.883
258,0.227,-0.102,-0.910
259,-0.008,-0.191,-1.109
260,0.113,-0.410,-0.961
261,0.078,-0.098,-1.070
262,-0.008,-0.102,-1.012
263,0.078,0.148,-0.898
264,0.301,-0.121,-0.723
265,-0.402,0.188,-1.082
266,-0.148,0.012,-0.918
267,0.164,0.180,-1.027
268,0.285,0.168,-1.000
269,0.051,-0.098,-0.828
270,-0.684,-0.297,-0.812
271,-0.336,-0.180,-0.820
272,-0.285,-0.051,-1.219
273,0.238,0.148,-1.012
274,0.461,0.055,-1.090
275,0.402,-0.047,-0.898
276,-0.203,-0.074,-1.062
277,-0.266,0.102,-0.738
278,-0.090,0.227,-0.852
279,0.031,-0.039,-1.023
280,0.102,0.066,-1.105
