Sample,X,Y,Z
0,-0.016,-0.016,-1.086
1,-0.020,-0.031,-0.957
2,-0.012,-0.031,-0.949
3,-0.023,-0.023,-0.957
4,-0.016,-0.031,-0.957
5,-0.012,-0.027,-0.957
6,-0.016,-0.031,-0.961
7,-0.020,-0.031,-0.953
8,-0.023,-0.027,-0.957
9,-0.020,-0.023,-0.953
10,-0.016,-0.023,-0.957
11,-0.012,-0.027,-0.965
12,-0.023,-0.035,-0.945
13,-0.027,-0.027,-0.953
14,-0.020,-0.027,-0.957
15,-0.020,-0.027,-0.953
16,-0.008,-0.031,-0.957
17,-0.020,-0.027,-0.957
18,-0.016,-0.023,-0.949
19,-0.020,-0.027,-0.957
20,0.051,-0.027,-0.961
21,-0.012,-0.023,-0.953
22,-0.023,-0.031,-0.961
23,-0.027,-0.031,-0.957
24,-0.023,-0.031,-0.961
25,-0.016,-0.020,-0.945
26,-0.020,-0.027,-0.949
27,-0.020,-0.027,-0.957
28,-0.023,-0.027,-0.953
29,-0.012,-0.023,-0.961
30,-0.020,-0.023,-0.961
31,-0.023,-0.031,-0.949
32,-0.020,-0.020,-0.953
33,-0.023,-0.027,-0.957
34,-0.023,-0.031,-0.961
35,-0.016,-0.023,-0.957
36,-0.004,-0.023,-0.953
37,-0.023,-0.035,-0.957
38,-0.012,-0.027,-0.961
39,-0.020,-0.031,-0.961
40,0.012,-0.035,-0.957
41,-0.027,-0.027,-0.961
42,-0.020,-0.027,-0.953
43,-0.023,-0.031,-0.961
44,-0.016,-0.020,-0.965
45,-0.020,-0.031,-0.957
46,-0.027,-0.027,-0.949
47,-0.023,-0.027,-0.957
48,-0.004,-0.020,-0.957
49,-0.012,-0.023,-0.957
50,-0.023,-0.027,-0.953
51,-0.023,-0.020,-0.957
52,-0.008,-0.020,-0.953
53,-0.027,-0.027,-0.953
54,-0.023,-0.027,-0.961
55,-0.016,-0.016,-0.961
56,-0.012,-0.020,-0.957
57,-0.023,-0.023,-0.961
58,-0.016,-0.105,-0.949
59,-0.039,-0.336,-0.941
60,-0.023,-0.484,-0.949
61,0.152,-0.426,-0.973
62,0.273,-0.398,-0.926
63,0.234,-0.543,-0.875
64,0.129,-0.637,-0.875
65,0.254,-0.645,-0.938
66,0.484,-0.496,-0.996
67,0.555,-0.301,-0.973
68,0.531,-0.168,-0.906
69,0.477,-0.449,-0.891
70,0.453,-0.535,-0.898
71,0.617,-0.488,-1.035
72,0.727,-0.516,-1.020
73,0.602,-0.422,-0.977
74,0.531,-0.766,-0.961
75,0.570,-0.539,-1.016
76,0.672,-0.211,-1.051
77,0.676,0.012,-0.941
78,0.602,-0.270,-0.855
79,0.395,-0.828,-0.848
80,0.332,-0.797,-1.051
81,0.500,-0.066,-1.098
82,0.652,-0.055,-1.035
83,0.613,-0.273,-1.070
84,0.207,-0.922,-1.000
85,0.004,-0.645,-0.914
86,0.305,0.066,-0.906
87,0.445,-0.090,-1.000
88,0.211,-0.633,-0.980
89,0.043,-0.855,-1.043
90,0.070,-0.262,-0.957
91,0.320,-0.059,-0.961
92,0.238,-0.215,-0.930
93,0.082,-0.551,-0.957
94,0.160,-0.562,-0.953
95,0.133,-0.305,-0.977
96,0.219,-0.156,-0.992
97,0.305,-0.328,-1.004
98,0.324,-0.461,-1.047
99,0.219,-0.375,-0.848
100,0.281,-0.160,-0.797
101,0.484,-0.223,-0.949
102,0.492,-0.359,-1.023
103,0.391,-0.418,-0.980
104,0.219,-0.320,-0.898
105,0.305,-0.430,-0.941
106,0.609,-0.469,-1.016
107,0.551,-0.383,-1.023
108,0.500,-0.355,-0.887
109,0.441,-0.461,-0.914
110,0.418,-0.609,-0.949
111,0.383,-0.445,-0.961
112,0.508,-0.312,-1.031
113,0.551,-0.273,-1.031
114,0.305,-0.516,-0.938
115,0.301,-0.434,-0.953
116,0.379,-0.527,-0.938
117,0.441,-0.402,-0.895
118,0.406,-0.480,-0.984
119,0.273,-0.602,-0.973
120,0.293,-0.477,-0.961
121,0.363,-0.383,-0.945
122,0.383,-0.016,-0.973
123,0.184,-0.414,-0.926
124,0.184,-0.379,-1.031
125,0.129,-0.566,-1.016
126,0.320,-0.355,-0.922
127,0.367,-0.273,-1.020
128,0.238,-0.324,-0.867
129,0.277,-0.453,-0.922
130,0.082,-0.367,-0.828
131,0.238,-0.199,-0.977
132,0.285,-0.180,-1.016
133,0.242,-0.207,-1.090
134,0.332,-0.438,-0.953
135,0.105,-0.406,-0.902
136,0.305,-0.340,-0.758
137,0.426,-0.152,-0.965
138,0.250,-0.406,-0.996
139,0.250,-0.406,-0.996
140,0.418,-0.695,-1.016
141,0.195,-0.582,-1.086
142,0.344,-0.270,-0.945
143,0.465,-0.125,-0.977
144,0.367,-0.387,-0.938
145,0.559,-0.809,-0.980
146,0.230,-0.520,-0.852
147,0.289,0.344,-0.742
148,0.344,-0.148,-1.012
149,0.395,-0.621,-1.164
150,0.469,-0.945,-1.105
151,0.273,-0.320,-0.930
152,0.344,0.098,-0.812
153,0.391,-0.277,-0.902
154,0.523,-0.711,-1.016
155,0.496,-0.754,-0.949
156,0.230,-0.254,-0.938
157,0.332,0.281,-0.980
158,0.402,-0.074,-1.055
159,0.297,-0.199,-1.051
160,0.059,-0.375,-1.012
161,-0.020,0.051,-0.980
162,0.012,0.172,-0.883
163,-0.047,0.285,-0.984
164,0.102,0.152,-1.074
165,0.004,-0.109,-1.109
166,-0.328,0.055,-1.000
167,-0.262,0.340,-0.879
168,-0.227,0.297,-0.770
169,-0.281,-0.066,-0.867
170,-0.164,-0.258,-0.965
171,-0.293,0.305,-0.977
172,-0.316,0.543,-0.977
173,-0.414,-0.637,-0.941
174,-0.395,-0.207,-0.941
175,-0.266,0.562,-1.262
176,-0.039,0.047,-0.781
177,-0.266,-0.363,-0.941
178,-0.637,-0.383,-0.758
179,0.145,-0.207,-0.887
180,-0.078,0.270,-0.938
181,0.023,0.012,-0.965
182,-0.125,-0.066,-0.965
183,-0.078,0.062,-0.902
184,-0.016,-0.191,-1.043
185,0.051,-0.160,-0.992
186,0.031,0.031,-0.875
187,0.141,0.145,-0.852
188,0.219,-0.129,-0.945
189,0.340,-0.270,-0.980
190,0.012,0.000,-0.891
191,0.184,0.137,-0.973
192,0.355,0.375,-0.918
193,0.066,-0.164,-0.984
194,0.035,-0.004,-1.074
195,0.191,-0.070,-0.973
196,0.180,0.223,-1.027
197,0.004,0.164,-0.828
198,0.059,-0.090,-0.898
199,0.059,-0.090,-0.898
200,-0.312,-0.223,-0.895
201,0.012,-0.168,-1.289
202,0.023,-0.020,-0.918
203,-0.180,0.105,-0.902
204,0.059,-0.094,-1.020
205,-0.234,-0.297,-0.773
206,-0.012,-0.160,-0.867
207,-0.199,-0.152,-0.898
208,-0.230,0.113,-1.059
209,-0.082,0.090,-1.145
210,-0.078,0.094,-1.090
211,0.035,0.082,-0.816
212,-0.324,-0.344,-0.777
213,-0.484,0.008,-0.875
214,-0.055,-0.043,-0.969
215,0.246,0.105,-1.113
216,-0.082,-0.055,-1.121
217,-0.129,-0.148,-0.875
218,-0.281,-0.098,-0.832
219,-0.117,0.121,-0.895
220,0.141,0.238,-0.965
221,0.188,0.117,-0.961
222,-0.055,0.000,-0.836
223,-0.156,-0.141,-0.898
224,0.160,0.102,-0.996
225,0.305,-0.043,-1.090
226,0.113,-0.105,-1.035
227,0.152,0.020,-0.949
228,-0.059,-0.234,-0.859
229,-0.047,-0.223,-0.867
230,0.254,0.066,-1.180
231,0.105,0.012,-0.785
232,0.059,0.043,-0.988
233,0.051,-0.332,-1.051
234,-0.035,-0.168,-0.914
235,0.043,0.102,-1.078
236,0.102,0.039,-0.996
237,0.117,-0.152,-1.027
238,0.062,-0.066,-0.746
239,-0.355,0.090,-0.930
240,-0.020,-0.031,-0.766
241,0.012,0.062,-1.109
242,-0.164,0.098,-1.027
243,-0.027,-0.277,-1.094
244,-0.203,-0.016,-0.898
245,0.012,-0.133,-1.082
246,0.117,-0.051,-0.801
247,0.086,0.125,-0.828
248,-0.133,0.191,-0.836
249,-0.039,-0.125,-0.973
250,-0.074,-0.102,-1.062
251,-0.219,0.059,-1.199
252,0.137,0.273,-0.980
253,0.188,0.035,-0.945
254,-0.176,-0.238,-0.879
255,-0.113,0.020,-0.801
256,-0.070,0.027,-0.832
257,-0.055,-0.023,-1.043
258,-0.008,0.594,-1.000
259,-0.023,-0.320,-0.883
260,-0.129,-0.414,-1.043
261,-0.176,-0.609,-1.066
262,0.145,-0.234,-0.855
263,0.148,0.496,-0.902
264,0.129,0.066,-0.914
265,0.176,-0.215,-0.973
266,-0.148,-0.242,-0.984
267,0.004,-0.027,-1.113
268,-0.098,0.234,-0.930
269,0.031,0.113,-1.008
270,0.133,-0.129,-0.984
271,0.094,0.008,-0.977
272,-0.133,-0.207,-0.816
273,-0.301,0.145,-0.824
274,-0.055,0.207,-0.871
275,0.188,-0.152,-0.969
276,-0.020,-0.246,-1.125
277,-0.121,-0.105,-1.012
278,-0.148,-0.051,-0.938
279,0.047,0.270,-0.867
280,0.031,0.012,-0.996
281,0.180,-0.227,-0.926
282,0.039,0.059,-0.840
283,-0.129,0.074,-0.891
284,-0.145,-0.004,-1.098
285,0.141,-0.051,-1.137
286,0.031,-0.047,-1.160
287,-0.016,-0.066,-0.867
288,-0.211,-0.133,-0.824
289,-0.371,0.020,-0.801
290,0.145,0.719,-0.918
291,-0.066,-0.074,-0.922
292,-0.117,-0.891,-1.016
293,-0.355,0.266,-0.906
294,-0.117,-0.176,-0.992
295,-0.027,0.340,-0.984
296,-0.066,-0.348,-1.098
297,0.395,-0.031,-0.902
298,-0.156,0.141,-0.750
299,-0.168,-0.113,-0.859
300,0.160,0.078,-0.867
301,0.016,-0.176,-1.059
302,0.023,0.031,-1.238
303,-0.059,0.184,-1.023
304,0.066,-0.242,-0.984
305,-0.383,-0.258,-0.938
306,0.184,0.000,-0.883
