Sample,X,Y,Z
0,-1.230,1.762,-1.086
1,-1.980,1.258,-0.621
2,-1.992,-1.391,-0.438
3,-1.992,-1.320,-0.953
4,-0.109,0.805,-1.254
5,1.375,1.992,-1.262
6,-0.137,1.992,-1.395
7,-1.832,1.156,-0.777
8,-1.992,-1.344,-0.543
9,-1.234,-0.426,-0.703
10,0.078,1.914,-0.617
11,0.012,1.992,-1.020
12,-0.160,1.789,-1.168
13,-0.156,-1.336,-1.293
14,-0.406,-1.898,-1.270
15,-0.309,-0.320,-0.871
16,0.699,1.051,-0.727
17,0.840,1.078,-0.520
18,0.934,-0.637,-0.746
19,0.691,-1.348,-0.801
20,1.555,-0.121,-0.910
21,1.797,1.574,-1.266
22,1.906,0.117,-1.047
23,1.992,-1.258,-0.891
24,1.801,-0.691,-0.848
25,1.734,1.906,-1.289
26,1.965,1.992,-1.301
27,1.934,0.836,-0.344
28,1.863,-1.992,-1.324
29,1.922,-1.852,-0.875
30,1.988,0.648,-0.531
31,1.000,1.918,-1.180
32,1.848,-0.684,-1.477
33,1.992,-1.992,-1.398
34,1.816,-0.430,-1.188
35,1.352,0.668,-0.996
36,0.664,-0.648,-0.758
37,0.184,-1.953,-0.781
38,1.309,-1.914,-1.066
39,1.824,-1.414,-1.383
40,0.551,-1.441,-0.938
41,-1.387,-1.883,-0.555
42,-1.992,-1.992,-0.414
43,-1.957,-1.590,-0.984
44,-1.438,0.055,-0.988
45,-0.359,0.156,-0.957
46,0.969,1.992,-1.422
47,1.984,1.992,-1.293
48,0.988,1.992,-0.848
49,-1.848,1.574,-0.422
50,-1.969,0.957,-0.320
51,0.465,0.609,-1.035
52,1.992,0.539,-1.277
53,1.582,0.516,-1.105
54,-0.977,0.797,-1.406
55,-1.203,0.211,-1.176
56,0.848,0.566,-1.137
57,1.254,0.168,-0.824
58,0.945,-0.562,-0.668
59,0.965,0.301,-0.438
60,1.484,0.270,-1.027
61,-0.672,-1.445,-1.012
62,-1.336,-1.883,0.703
63,1.816,-1.797,-1.016
64,1.434,-1.883,-1.172
65,0.238,-0.668,-0.480
66,1.723,-1.000,-0.871
67,1.992,-1.160,-1.992
68,1.125,-1.211,-1.785
69,0.746,-0.840,-1.492
70,0.879,-1.258,-0.695
71,0.703,-0.863,0.020
72,0.371,0.625,0.066
73,0.207,-0.160,-0.766
74,0.012,-0.059,-1.305
75,0.273,0.574,-1.766
76,0.219,0.977,-1.941
77,-0.516,0.258,-1.746
78,-0.871,0.086,-1.230
79,-0.801,0.336,-0.316
80,-1.141,0.473,0.012
81,-1.582,-0.031,-0.199
82,-1.984,-0.078,-0.875
83,-1.793,0.020,-1.387
84,-1.180,0.316,-1.500
85,-1.562,-0.531,-0.852
86,-0.844,-1.105,-1.461
87,0.656,-0.305,-0.707
88,-1.699,-0.879,-0.547
89,-1.992,-0.805,-0.383
90,-1.297,0.027,-1.430
91,-0.191,0.746,-0.961
92,-0.766,1.129,-1.348
93,-1.883,1.070,-0.738
94,-1.531,0.430,-0.395
95,-1.172,0.754,-0.375
96,-0.422,1.043,-0.699
97,-0.199,0.473,-0.840
98,-0.383,0.039,-1.191
99,-0.242,-0.547,-1.203
100,0.426,-0.375,-1.176
101,0.035,-0.617,-1.035
102,-0.789,-0.945,-0.688
103,-0.926,-0.348,-0.855
104,0.754,0.207,-0.824
105,1.770,0.520,-0.969
106,0.402,0.609,-0.996
107,-1.609,0.426,-1.062
108,-1.613,0.586,-1.098
109,0.000,0.668,-1.176
110,0.555,-0.004,-0.949
111,-0.465,-0.266,-0.723
112,-1.250,0.066,-0.555
113,-0.852,0.340,-0.621
114,-0.141,0.156,-0.988
115,0.160,0.164,-1.289
116,-0.574,0.609,-0.906
117,0.207,0.191,-1.160
118,1.301,0.141,-1.000
119,0.598,0.172,-0.902
120,-1.102,0.398,-0.770
121,-1.184,0.090,-0.859
122,-0.129,-0.086,-1.195
123,0.680,-0.145,-1.223
124,0.336,-0.016,-0.926
125,-0.785,-0.133,-0.766
126,-1.152,-0.062,-0.852
127,-0.559,-0.043,-0.941
128,0.090,0.117,-1.020
129,0.352,0.109,-0.945
130,0.078,-0.055,-0.898
131,-0.363,0.133,-0.977
132,-0.336,0.383,-0.914
