Sample,X,Y,Z
0,-0.023,-0.035,-1.082
1,-0.023,-0.027,-0.957
2,-0.012,-0.031,-0.961
3,-0.012,-0.023,-0.953
4,-0.023,-0.020,-0.957
5,-0.023,-0.031,-0.953
6,-0.016,-0.035,-0.957
7,-0.023,-0.031,-0.949
8,-0.020,-0.023,-0.961
9,-0.012,-0.023,-0.957
10,-0.020,-0.027,-0.957
11,-0.016,-0.027,-0.945
12,-0.016,-0.023,-0.957
13,-0.023,-0.023,-0.957
14,-0.020,-0.027,-0.961
15,-0.016,-0.027,-0.949
16,-0.020,-0.027,-0.957
17,-0.016,-0.031,-0.961
18,-0.020,-0.016,-0.961
19,-0.020,-0.020,-0.957
20,-0.055,-0.023,-0.949
21,-0.023,-0.035,-0.953
22,-0.031,-0.020,-0.953
23,-0.016,-0.023,-0.953
24,-0.004,-0.027,-0.953
25,-0.012,-0.027,-0.965
26,-0.031,-0.023,-0.961
27,-0.016,-0.027,-0.957
28,-0.020,-0.027,-0.949
29,-0.023,-0.031,-0.949
30,-0.027,-0.031,-0.953
31,-0.027,-0.031,-0.957
32,-0.012,-0.020,-0.957
33,-0.012,-0.023,-0.953
34,-0.023,-0.031,-0.957
35,-0.020,-0.035,-0.953
36,-0.027,-0.023,-0.957
37,-0.020,-0.020,-0.949
38,-0.016,-0.023,-0.949
39,-0.020,-0.020,-0.953
40,-0.043,-0.047,-0.953
41,0.020,-0.395,-0.965
42,-0.004,-1.180,-0.918
43,-0.184,-1.305,-0.898
44,-0.113,-0.734,-0.902
45,0.148,-0.445,-0.992
46,0.238,-1.086,-1.078
47,-0.113,-1.496,-0.992
48,-0.289,-1.492,-0.836
49,-0.086,-0.598,-0.812
50,0.406,-0.090,-0.930
51,0.430,-0.617,-1.062
52,-0.203,-1.215,-1.023
53,-0.512,-0.973,-0.996
54,-0.020,-0.609,-0.969
55,0.391,-0.363,-0.992
56,-0.035,-0.734,-0.980
57,-0.512,-1.074,-0.848
58,-0.344,-1.055,-0.816
59,0.188,-0.684,-0.930
60,0.293,-0.523,-1.070
61,-0.012,-0.758,-0.969
62,-0.176,-1.066,-0.922
63,-0.016,-0.988,-0.879
64,0.055,-0.660,-0.945
65,0.070,-0.414,-0.980
66,0.125,-0.836,-1.086
67,0.070,-1.203,-0.969
68,-0.156,-1.043,-0.934
69,-0.363,-0.715,-0.945
70,-0.043,-0.766,-0.980
71,0.336,-0.961,-1.047
72,0.145,-0.785,-0.949
73,-0.215,-0.672,-0.891
74,-0.301,-0.410,-0.848
75,0.027,-0.512,-0.938
76,0.262,-0.402,-1.023
77,0.246,-0.551,-0.973
78,-0.133,-0.582,-0.859
79,-0.410,-0.574,-0.840
80,-0.137,-0.754,-0.938
81,0.152,-0.734,-1.027
82,0.172,-0.719,-0.965
83,-0.164,-0.766,-0.973
84,-0.285,-0.730,-0.918
85,0.031,-0.789,-1.012
86,0.270,-0.684,-0.969
87,0.129,-0.695,-0.965
88,-0.133,-0.719,-0.891
89,-0.223,-0.684,-0.922
90,-0.008,-0.391,-0.980
91,0.207,-0.566,-1.070
92,0.289,-0.988,-1.039
93,-0.035,-1.324,-0.902
94,-0.469,-1.137,-0.832
95,-0.371,-0.383,-0.879
96,0.289,-0.414,-0.953
97,0.520,-1.031,-1.148
98,0.117,-1.160,-1.031
99,-0.254,-0.938,-0.930
100,-0.223,-0.535,-0.887
101,0.047,-0.484,-0.848
102,0.031,-0.918,-0.953
103,-0.059,-0.945,-0.906
