Sample,X,Y,Z
0,-0.012,-0.031,-1.203
1,-0.012,-0.027,-0.945
2,-0.023,-0.031,-0.957
3,-0.016,-0.027,-0.953
4,-0.016,-0.027,-0.957
5,-0.016,-0.023,-0.957
6,-0.016,-0.020,-0.961
7,-0.020,-0.027,-0.953
8,-0.020,-0.031,-0.953
9,-0.027,-0.023,-0.953
10,-0.023,-0.023,-0.957
11,-0.016,-0.023,-0.961
12,-0.020,-0.023,-0.957
13,-0.031,-0.031,-0.949
14,-0.023,-0.027,-0.953
15,-0.020,-0.016,-0.957
16,-0.016,-0.035,-0.953
17,-0.023,-0.039,-0.965
18,-0.020,-0.023,-0.957
19,-0.012,-0.035,-0.949
20,-0.004,-0.027,-0.949
21,0.000,-0.020,-0.957
22,-0.023,-0.023,-0.953
23,-0.031,-0.031,-0.953
24,-0.012,-0.023,-0.961
25,-0.016,-0.020,-0.957
26,-0.020,-0.023,-0.961
27,-0.023,-0.027,-0.953
28,-0.023,-0.020,-0.965
29,-0.020,-0.012,-0.957
30,-0.020,-0.039,-0.965
31,-0.031,-0.031,-0.953
32,-0.012,-0.027,-0.957
33,-0.020,-0.016,-0.953
34,-0.012,-0.031,-0.957
35,-0.023,-0.016,-0.953
36,-0.020,-0.039,-0.953
37,-0.023,-0.012,-0.961
38,-0.016,-0.023,-0.957
39,-0.016,-0.023,-0.965
40,-0.027,-0.012,-0.945
41,-0.016,-0.020,-0.953
42,-0.020,-0.027,-0.953
43,-0.027,-0.027,-0.949
44,-0.016,-0.027,-0.957
45,-0.020,-0.023,-0.969
46,-0.023,-0.027,-0.961
47,-0.016,-0.023,-0.957
48,-0.020,-0.020,-0.953
49,-0.020,-0.035,-0.957
50,-0.023,-0.023,-0.953
51,-0.020,-0.016,-0.953
52,-0.020,-0.023,-0.953
53,-0.020,-0.020,-0.961
54,-0.016,-0.023,-0.957
55,-0.020,-0.027,-0.949
56,-0.012,-0.023,-0.957
57,-0.016,-0.031,-0.957
58,-0.020,-0.023,-0.957
59,-0.016,-0.020,-0.957
60,0.008,-0.012,-0.949
61,-0.020,-0.027,-0.953
62,-0.016,-0.023,-0.957
63,-0.016,-0.031,-0.953
64,-0.023,-0.023,-0.961
65,-0.016,-0.027,-0.949
66,-0.020,-0.027,-0.949
67,-0.016,-0.031,-0.957
68,-0.016,-0.020,-0.957
69,-0.016,-0.031,-0.949
70,-0.020,-0.023,-0.965
71,-0.023,-0.023,-0.949
72,-0.020,-0.031,-0.953
73,-0.012,-0.031,-0.957
74,-0.016,-0.027,-0.953
75,-0.023,-0.027,-0.953
76,-0.016,-0.023,-0.957
77,-0.016,-0.027,-0.953
78,-0.020,-0.027,-0.949
79,-0.020,-0.012,-0.957
80,-0.059,-0.008,-0.941
81,-0.012,-0.027,-0.957
82,-0.020,-0.016,-0.957
83,-0.027,-0.027,-0.957
84,-0.023,-0.023,-0.961
85,-0.016,-0.027,-0.957
86,-0.020,-0.023,-0.957
87,-0.020,-0.031,-0.957
88,-0.020,-0.012,-0.953
89,-0.016,-0.035,-0.957
90,-0.016,-0.023,-0.957
91,-0.016,-0.031,-0.953
92,-0.016,-0.020,-0.957
93,-0.020,-0.023,-0.957
94,-0.023,-0.023,-0.961
95,-0.020,-0.035,-0.957
96,-0.023,-0.020,-0.949
97,-0.023,-0.023,-0.957
98,-0.016,-0.031,-0.953
99,-0.008,0.031,-0.949
100,-0.078,0.277,-0.938
101,0.008,0.289,-0.969
102,0.254,-0.055,-0.953
103,0.293,-0.203,-0.910
104,0.316,0.098,-0.789
105,0.473,0.078,-0.773
106,0.625,-0.184,-0.930
107,0.949,-0.406,-1.043
108,1.086,0.148,-1.039
109,1.281,0.176,-1.156
110,1.652,-0.445,-1.203
111,1.414,-0.453,-1.090
112,0.844,-0.051,-0.945
113,0.859,0.055,-0.922
114,1.121,0.000,-1.027
115,1.160,-0.023,-1.047
116,0.902,-0.148,-0.953
117,0.453,-0.184,-0.895
118,0.141,0.008,-0.883
119,0.250,0.152,-0.941
120,0.547,-0.023,-1.117
121,0.680,-0.309,-1.133
122,0.172,-0.090,-0.977
123,-0.324,0.547,-0.809
124,-0.305,0.156,-0.754
125,-0.285,-0.293,-0.930
126,-0.109,-0.027,-1.008
127,0.109,0.391,-0.887
128,-0.035,0.191,-0.883
129,-0.027,-0.211,-0.977
130,0.082,-0.172,-0.879
131,0.055,0.332,-0.957
132,0.371,0.238,-0.996
133,0.707,-0.164,-0.980
134,0.598,-0.324,-0.949
135,0.418,-0.176,-0.816
136,0.441,0.133,-0.859
137,0.941,0.156,-1.016
138,1.473,-0.270,-1.113
139,1.242,-0.273,-1.242
140,1.035,-0.207,-1.031
141,0.836,-0.059,-0.945
142,0.883,0.074,-0.977
143,1.105,-0.121,-1.039
144,1.043,-0.207,-1.016
145,0.594,-0.141,-0.984
146,0.398,0.055,-0.910
147,0.566,0.078,-0.891
148,0.613,-0.098,-1.031
149,0.633,-0.078,-1.074
150,0.418,0.008,-0.902
151,-0.051,0.328,-0.828
152,-0.109,0.094,-0.953
153,0.113,-0.230,-0.945
154,0.094,-0.105,-0.992
155,0.113,-0.020,-0.820
156,-0.012,0.020,-0.852
157,-0.039,0.133,-0.930
158,0.227,0.008,-0.980
159,0.238,0.184,-1.043
160,0.125,-0.023,-1.145
161,0.332,0.012,-0.926
162,0.309,0.172,-0.855
163,0.453,-0.059,-0.855
164,0.516,-0.152,-0.812
165,0.414,-0.180,-0.840
166,0.531,0.051,-0.941
167,0.930,-0.305,-1.082
168,1.129,-0.438,-1.199
169,1.109,-0.512,-1.145
170,0.828,-0.188,-0.973
171,0.465,0.512,-0.961
172,0.656,0.816,-1.016
173,1.359,0.039,-1.172
174,1.492,-0.543,-1.098
175,0.586,-0.430,-0.805
176,-0.422,0.219,-0.500
177,-0.621,0.449,-0.773
178,0.605,-0.062,-1.012
179,1.484,-0.652,-1.250
180,1.215,-0.309,-1.227
181,0.332,0.301,-0.926
182,-0.531,0.598,-0.832
183,-0.293,0.125,-0.980
184,0.777,-0.453,-1.129
