Sample,X,Y,Z
0,-0.344,0.316,-1.148
1,-0.488,0.426,-0.844
2,-0.852,0.652,-0.941
3,-0.699,0.535,-1.152
4,-0.043,0.176,-1.078
5,0.051,-0.094,-0.844
6,-0.645,0.609,-0.758
7,-1.141,0.832,-0.871
8,-0.715,0.594,-1.031
9,-0.105,0.102,-1.137
10,-0.098,0.055,-0.969
11,-0.461,0.309,-0.859
12,-0.602,0.562,-0.766
13,-0.648,0.160,-0.840
14,-0.355,-0.227,-0.898
15,-0.035,0.199,-1.016
16,-0.016,0.543,-1.000
17,-0.066,0.789,-0.949
18,-0.125,0.480,-0.977
19,-0.082,0.125,-0.953
20,-0.305,0.254,-0.820
21,-0.418,0.406,-0.914
22,-0.246,0.309,-1.086
23,-0.168,0.070,-1.055
24,-0.191,0.398,-0.961
25,-0.195,0.770,-0.922
26,-0.375,0.883,-0.887
27,-0.559,0.629,-0.875
28,-0.340,0.148,-0.949
29,-0.035,0.020,-0.996
30,-0.121,0.957,-1.031
31,-0.301,1.922,-0.977
32,-0.590,1.711,-1.000
33,-1.309,1.234,-1.012
34,-1.426,0.852,-1.094
35,-0.625,0.828,-1.004
36,-0.250,1.336,-0.867
37,-0.785,1.273,-0.609
38,-1.312,0.719,-0.566
39,-1.508,-0.250,-0.930
40,-1.172,0.211,-1.156
41,-0.609,0.621,-1.281
42,-0.527,0.375,-1.109
43,-1.195,0.113,-0.883
44,-1.562,-0.137,-0.738
45,-1.180,0.316,-0.812
46,-0.535,0.867,-0.789
47,-0.074,0.746,-0.906
48,0.008,0.191,-0.957
49,-0.309,-0.148,-1.023
50,-0.387,0.164,-0.984
51,-0.086,0.633,-0.938
52,0.008,0.246,-0.863
53,-0.281,-0.281,-0.926
54,-0.348,-0.344,-1.023
55,0.074,0.445,-0.914
56,0.402,0.789,-0.824
57,0.406,0.406,-0.871
58,0.188,-0.188,-1.020
59,0.047,-0.270,-1.141
60,0.098,0.508,-1.047
61,0.430,0.766,-0.961
62,0.453,0.066,-1.000
63,0.020,-0.246,-1.012
64,-0.414,0.156,-0.848
65,-0.273,1.145,-0.926
66,0.164,0.789,-0.918
67,0.016,0.238,-1.027
68,-0.441,0.172,-1.062
69,-0.504,0.254,-1.039
70,-0.539,0.160,-0.918
71,-0.316,0.211,-0.863
72,-0.309,0.145,-0.977
73,-0.637,0.355,-1.000
74,-0.828,0.297,-1.020
75,-0.613,0.262,-0.977
76,-0.465,-0.008,-0.824
77,-0.512,-0.594,-0.836
78,-0.719,-0.777,-1.062
79,-0.508,-0.121,-0.875
80,-0.141,-0.117,-0.805
81,0.027,-0.590,-0.969
82,0.016,-0.703,-0.891
83,-0.086,-0.582,-0.949
84,0.176,-0.535,-0.973
85,0.547,-0.238,-0.887
86,0.477,-0.168,-0.816
87,0.504,-0.227,-1.012
88,0.652,-0.297,-0.984
89,0.695,-0.340,-1.047
90,0.871,-0.172,-1.016
91,1.074,-0.273,-0.969
92,1.012,-1.137,-1.000
93,0.828,-1.613,-1.070
94,0.887,-0.707,-0.953
95,0.949,-0.465,-0.883
96,0.746,-0.551,-0.879
97,0.648,-0.422,-0.844
98,0.777,-0.461,-0.977
99,0.699,-0.512,-1.031
100,0.586,-0.418,-1.023
101,0.781,-0.434,-1.027
102,0.688,-0.770,-0.938
103,0.277,-0.715,-0.926
104,0.219,-0.574,-0.848
105,0.465,-0.578,-0.902
106,0.414,-0.352,-0.980
107,0.379,-0.164,-1.090
108,0.121,0.012,-1.164
109,0.465,-0.234,-1.203
110,0.660,-0.266,-1.090
111,0.328,-0.246,-0.949
112,-0.043,-0.281,-0.898
113,-0.125,-0.383,-0.992
114,-0.094,-0.609,-1.074
115,-0.066,-0.340,-0.977
116,-0.023,-0.359,-0.891
117,-0.258,-0.500,-0.848
118,-0.488,-0.848,-0.781
119,-0.336,-1.461,-0.867
120,-0.043,-1.848,-0.969
121,0.496,-1.230,-1.004
122,1.035,-0.191,-0.816
123,1.086,-0.133,-0.773
124,0.832,-0.457,-0.762
125,0.598,-1.012,-0.910
126,0.703,-0.820,-1.156
127,1.098,-0.090,-1.207
128,1.574,0.184,-1.105
129,1.207,0.051,-1.004
130,0.680,-0.145,-0.746
131,0.605,-0.055,-0.738
132,0.922,-0.305,-0.891
133,1.480,-0.547,-1.102
134,1.395,-0.914,-1.160
135,0.992,-0.750,-1.031
136,0.613,-0.730,-0.980
137,0.434,-0.688,-0.949
138,0.629,-0.566,-1.043
139,0.652,-0.367,-1.086
140,0.621,-0.254,-1.012
141,0.562,-0.457,-0.996
142,0.391,-0.281,-0.914
143,0.293,0.098,-0.980
144,0.305,0.086,-1.027
145,0.250,-0.238,-1.078
146,0.156,-0.473,-1.121
147,0.098,-0.270,-1.027
148,-0.008,-0.086,-0.914
149,-0.094,-0.117,-0.965
150,-0.125,-0.375,-0.957
151,-0.168,-0.582,-0.934
152,-0.094,-0.551,-0.895
153,-0.047,-0.211,-0.828
154,-0.234,-0.496,-0.859
155,-0.168,-1.402,-0.938
156,-0.262,-1.371,-0.887
157,-0.234,-0.598,-0.867
158,-0.102,0.152,-1.023
159,-0.105,-0.363,-1.195
160,0.016,-0.980,-1.055
161,0.227,-0.742,-0.887
162,0.312,-0.016,-0.750
163,0.129,0.102,-0.695
164,0.184,-0.316,-0.859
165,0.375,-0.367,-1.129
166,0.473,-0.219,-1.191
167,0.438,-0.160,-1.008
168,0.406,-0.176,-0.961
169,0.348,-0.125,-0.914
170,0.227,-0.496,-0.805
171,0.211,-0.457,-0.848
172,0.430,-0.473,-0.996
173,0.746,-0.676,-1.047
174,0.793,-1.535,-1.090
175,0.277,-1.355,-0.848
176,-0.227,-0.227,-0.625
177,-0.434,0.219,-1.129
178,-0.148,0.371,-1.410
179,0.184,-0.199,-1.223
180,0.152,-0.211,-0.941
181,-0.539,0.793,-0.637
182,-1.156,1.254,-0.688
183,-1.043,0.488,-1.234
184,-0.637,0.121,-1.164
185,-0.227,1.465,-1.207
186,-0.629,1.352,-1.012
187,-1.254,0.906,-0.680
188,-1.543,0.406,-0.637
189,-1.164,-0.207,-0.691
190,-0.668,-0.379,-0.785
191,-0.613,-0.133,-1.035
192,-0.676,0.191,-1.145
193,-1.016,0.527,-1.141
194,-1.438,0.414,-1.121
195,-1.125,0.547,-0.938
196,-0.820,0.883,-0.809
197,-0.848,1.473,-0.633
198,-0.988,1.148,-0.703
199,-1.043,0.641,-0.828
200,-0.691,0.738,-1.043
201,-0.211,0.387,-1.066
202,0.176,-0.098,-1.082
203,0.008,-0.152,-0.930
204,-0.211,0.199,-0.793
205,-0.035,0.359,-0.707
206,-0.184,0.246,-0.754
207,-0.199,0.344,-0.992
208,0.227,-0.039,-1.223
209,0.555,-0.941,-1.188
210,-0.156,-0.613,-0.961
211,-0.973,0.254,-0.805
212,-1.082,0.805,-0.934
213,-0.293,-0.156,-1.152
214,0.543,-1.113,-0.832
215,-0.055,-1.016,-0.613
216,-1.594,-0.750,-0.707
217,-1.988,-0.195,-1.176
218,-0.852,-0.312,-1.617
219,0.785,-1.031,-1.379
220,0.375,-0.398,-0.648
221,-1.641,-0.039,-0.379
222,-1.992,0.254,-0.629
223,-1.992,-0.156,-1.109
224,-1.438,-0.656,-1.426
225,0.012,-0.598,-1.148
226,0.254,-0.555,-0.875
227,-1.477,0.203,-0.512
228,-1.992,0.141,-0.512
229,-1.660,-0.688,-0.895
230,-0.551,-0.637,-1.031
231,-0.062,-0.438,-1.164
232,0.020,0.043,-1.012
233,-0.559,0.156,-0.945
234,-1.180,-0.301,-0.812
235,-0.695,-0.848,-0.715
236,-0.023,-0.746,-0.824
237,0.230,-0.121,-1.035
238,0.586,0.137,-0.969
239,0.676,-0.598,-0.934
240,0.293,-0.867,-0.879
241,-0.129,-0.422,-0.906
242,0.098,0.520,-0.992
243,0.582,0.441,-1.109
244,0.363,-1.078,-0.996
245,-0.332,-1.301,-0.898
246,-0.547,-0.191,-0.961
247,-0.070,0.625,-0.977
248,0.129,-0.410,-1.090
249,-0.105,-1.543,-0.992
250,-0.168,-0.617,-0.910
251,-0.109,0.340,-0.895
252,-0.492,0.219,-0.883
253,-0.434,-1.141,-0.992
254,-0.348,-1.336,-1.082
255,-0.633,-0.762,-0.953
256,-0.500,0.305,-0.930
257,-0.617,0.262,-0.957
258,-0.719,-0.105,-1.047
259,-0.590,1.117,-1.133
260,-1.070,1.176,-0.957
261,-1.629,-0.195,-0.684
262,-1.605,-0.418,-0.891
263,-0.656,-0.301,-1.055
264,-0.453,-0.348,-0.836
265,-1.410,-0.148,-0.957
266,-1.395,-0.812,-0.930
267,-0.512,-0.598,-1.012
268,-0.605,-0.141,-1.051
269,-0.840,0.309,-0.949
270,-1.047,0.652,-0.848
271,-0.844,1.137,-0.914
272,-1.012,0.617,-0.957
273,-1.324,-0.051,-1.043
274,-1.219,-0.203,-0.992
275,-0.473,0.293,-0.777
276,-0.078,0.523,-0.566
277,-0.547,-0.102,-0.750
278,-1.066,-1.105,-0.914
279,-0.496,-0.863,-1.180
280,-0.070,0.109,-1.070
281,0.141,1.320,-1.008
282,-0.039,1.371,-1.020
283,-0.922,-0.184,-1.047
284,-1.527,-0.949,-0.891
285,-0.918,-0.145,-1.027
286,0.445,1.219,-0.809
287,0.375,0.973,-0.773
288,-0.453,-0.188,-0.871
289,-0.938,-1.656,-1.074
290,-0.613,-0.102,-1.023
291,-0.109,1.711,-0.984
292,0.027,1.957,-1.148
293,-0.945,0.930,-1.207
294,-1.621,-0.945,-1.086
295,-1.340,-0.613,-0.645
296,-0.453,1.531,-0.801
297,0.219,1.992,-0.641
298,-0.180,1.297,-0.941
299,-0.629,-0.898,-0.883
300,-0.102,0.730,-0.984
301,0.504,1.992,-1.125
302,0.578,1.988,-0.887
303,-0.398,0.082,-0.848
