Sample,X,Y,Z
0,0.719,0.227,-1.289
1,0.312,0.457,-0.930
2,0.387,-0.277,-0.809
3,0.145,-0.758,-1.023
4,-0.238,-0.410,-0.906
5,0.098,0.043,-0.816
6,-0.008,-0.113,-1.082
7,-0.215,-0.793,-1.109
8,0.047,-0.781,-1.098
9,-0.262,-0.551,-1.066
10,-0.410,-0.199,-0.871
11,-0.523,-0.523,-0.773
12,-0.262,-0.508,-0.887
13,-0.020,-0.430,-0.859
14,-0.453,0.234,-0.988
15,-0.621,0.078,-1.188
16,0.047,-0.398,-1.086
17,0.164,0.066,-0.977
18,0.152,0.035,-0.758
19,0.020,-0.004,-0.590
20,-0.270,-0.328,-0.855
21,0.383,-0.309,-1.125
22,0.797,-0.254,-1.113
23,0.918,0.141,-0.949
24,0.906,0.090,-0.781
25,0.684,-0.094,-0.770
26,0.477,-0.156,-0.723
27,0.578,-0.207,-0.781
28,0.828,-0.832,-1.117
29,0.848,-0.809,-1.121
30,0.938,-0.508,-1.277
31,1.113,-0.629,-1.316
32,1.164,-0.559,-1.051
33,0.801,-0.535,-0.770
34,0.684,-0.246,-0.711
35,0.656,-0.215,-0.754
36,0.617,-0.031,-0.988
37,0.988,-0.602,-1.137
38,0.879,-0.719,-1.246
39,0.879,-0.719,-1.246
40,0.688,-0.148,-1.160
41,0.680,-0.582,-1.016
42,0.281,-0.914,-0.879
43,-0.027,-0.730,-0.895
44,0.430,-0.609,-0.867
45,0.539,-0.398,-0.988
46,0.461,-0.203,-0.934
47,0.496,-0.406,-1.051
48,0.406,-0.680,-1.102
49,0.250,-0.449,-0.980
50,0.191,-0.172,-0.965
51,0.527,-0.016,-0.914
52,0.137,0.570,-1.043
53,-0.199,-0.402,-1.066
54,0.316,-0.434,-0.992
55,0.168,0.008,-1.062
56,0.023,0.195,-0.875
57,-0.266,-0.289,-0.914
58,0.152,-0.750,-0.746
59,0.266,-0.750,-0.910
60,-0.254,-0.180,-1.168
61,0.227,-0.441,-0.766
62,0.422,-0.375,-0.984
63,0.355,-0.195,-1.191
64,0.355,-0.230,-0.902
65,0.172,0.129,-0.973
66,0.355,0.223,-0.812
67,0.297,0.613,-1.043
68,0.078,0.879,-1.176
69,0.004,0.602,-1.012
70,-0.066,0.215,-1.191
71,-0.375,0.301,-0.820
72,-0.426,0.363,-0.645
73,-0.504,0.605,-0.848
74,-0.582,0.090,-0.914
75,-0.605,0.098,-0.984
76,-0.703,0.223,-1.141
77,-0.434,0.332,-1.012
78,-0.613,0.445,-0.984
79,-0.969,0.500,-0.879
80,-0.980,0.180,-0.848
81,-1.055,0.273,-0.918
82,-1.160,0.730,-0.992
83,-1.023,0.680,-0.855
84,-1.023,0.594,-0.887
85,-1.070,0.484,-0.824
86,-1.062,0.570,-0.824
87,-1.059,0.367,-0.961
88,-0.891,0.105,-0.965
89,-0.730,-0.062,-0.902
90,-0.500,0.035,-0.855
91,-0.406,-0.168,-0.934
92,-0.500,-0.305,-1.051
93,-0.449,-0.156,-0.859
94,-0.371,0.699,-0.914
95,-0.328,0.328,-0.953
96,-0.023,0.090,-0.980
97,-0.008,0.617,-0.879
98,-0.059,0.777,-0.953
99,-0.238,0.223,-1.008
100,-0.344,-0.176,-0.875
101,-0.227,0.211,-0.996
102,0.344,0.379,-0.934
103,0.453,0.230,-0.910
104,0.000,0.086,-0.891
105,-0.375,0.355,-0.977
106,-0.066,0.430,-0.984
107,0.047,0.508,-0.980
108,0.004,0.383,-0.949
109,-0.250,0.723,-0.836
110,-0.410,0.273,-0.883
111,-0.551,0.242,-1.016
112,-0.645,0.074,-0.953
113,-0.191,-0.078,-1.051
114,-0.285,0.020,-0.984
115,-0.797,0.605,-0.840
116,-0.824,0.754,-0.883
117,-0.672,0.246,-0.980
118,-0.785,0.199,-0.973
119,-0.875,0.066,-0.891
120,-0.711,-0.039,-0.961
121,-0.836,0.125,-0.953
122,-0.863,0.148,-0.949
123,-0.699,0.090,-0.973
124,-0.629,0.281,-0.941
125,-0.812,0.676,-0.926
126,-0.797,0.531,-0.910
127,-0.590,0.293,-0.863
128,-0.641,0.262,-0.820
129,-0.793,0.375,-0.828
130,-0.719,0.578,-0.914
131,-0.484,0.656,-1.004
132,-0.262,0.406,-0.957
133,-0.180,0.109,-0.945
134,-0.336,0.199,-0.918
135,-0.438,0.391,-0.934
136,-0.234,0.352,-0.871
137,-0.008,0.113,-0.926
138,-0.113,-0.020,-0.969
139,-0.172,0.148,-1.012
140,-0.227,0.543,-0.973
141,-0.117,0.297,-0.977
142,-0.117,0.105,-1.023
143,-0.234,0.172,-0.988
144,-0.309,0.355,-0.945
145,-0.238,0.387,-0.961
146,-0.266,0.238,-0.965
147,-0.312,0.195,-0.988
148,-0.320,0.254,-0.930
149,-0.332,0.344,-0.945
150,-0.414,0.301,-0.945
151,-0.445,0.098,-0.949
152,-0.406,0.039,-0.996
153,-0.387,0.184,-0.965
154,-0.438,0.387,-0.941
155,-0.566,0.273,-0.984
156,-0.617,0.086,-1.008
157,-0.504,0.156,-0.973
158,-0.434,0.402,-0.934
159,-0.523,1.352,-0.906
160,-0.453,1.992,-0.969
161,-0.375,1.965,-1.039
162,-0.383,0.984,-0.984
163,-0.344,0.203,-0.836
164,-0.094,0.871,-0.781
165,0.027,1.812,-0.742
166,0.234,1.434,-0.984
167,0.504,0.191,-1.148
168,0.660,-0.473,-1.012
169,0.809,0.145,-0.836
170,0.590,0.961,-0.793
171,0.449,0.383,-0.926
172,0.590,-0.629,-1.090
173,0.926,-0.312,-1.074
174,1.277,0.324,-0.949
175,1.125,1.176,-0.840
176,0.902,0.648,-1.180
177,0.973,-0.293,-0.969
178,1.141,-1.164,-1.043
179,1.062,-0.328,-1.105
180,1.250,0.125,-0.812
181,1.051,-0.223,-0.984
182,0.578,-0.965,-1.023
183,0.375,-0.512,-0.840
184,0.449,-0.180,-0.805
185,0.363,-0.344,-0.875
186,0.047,-0.863,-1.137
187,0.070,-1.285,-1.203
188,0.199,-1.109,-1.016
189,-0.348,-0.730,-0.910
190,-0.711,-0.340,-1.191
191,-0.723,-0.387,-1.402
192,-0.238,-0.293,-1.457
193,-0.117,-0.023,-1.043
194,-0.938,0.293,-0.562
195,-1.828,-0.094,-0.449
196,-1.992,-0.375,-0.594
197,-1.684,-0.520,-0.875
198,-1.230,-0.332,-1.141
199,-1.156,-0.289,-1.234
200,-1.395,-0.355,-1.199
201,-1.750,-0.578,-0.848
202,-1.680,-0.539,-0.613
203,-1.297,0.074,-0.613
204,-1.418,0.328,-0.570
205,-0.781,0.223,-0.938
206,-0.262,-0.121,-1.117
