Sample,X,Y,Z
0,-0.020,-0.039,-0.957
1,-0.020,-0.031,-0.953
2,-0.023,-0.027,-0.957
3,-0.023,-0.027,-0.957
4,-0.012,-0.023,-0.957
5,-0.020,-0.023,-0.953
6,-0.023,-0.027,-0.957
7,-0.016,-0.031,-0.949
8,-0.016,-0.023,-0.957
9,-0.023,-0.020,-0.957
10,-0.020,-0.027,-0.961
11,-0.020,-0.035,-0.957
12,-0.016,-0.031,-0.957
13,-0.020,-0.027,-0.953
14,-0.023,-0.027,-0.949
15,-0.016,-0.023,-0.953
16,-0.016,-0.031,-0.957
17,-0.023,-0.027,-0.957
18,-0.012,-0.023,-0.957
19,-0.016,-0.012,-0.961
20,-0.047,-0.012,-0.965
21,-0.020,-0.031,-0.961
22,-0.020,-0.016,-0.953
23,-0.023,-0.031,-0.961
24,-0.020,-0.020,-0.949
25,-0.016,-0.027,-0.961
26,-0.023,-0.027,-0.949
27,-0.023,-0.027,-0.953
28,-0.016,-0.023,-0.957
29,-0.020,-0.023,-0.957
30,-0.031,-0.031,-0.957
31,-0.020,-0.027,-0.961
32,-0.016,-0.031,-0.953
33,-0.016,-0.020,-0.961
34,-0.023,-0.031,-0.957
35,-0.020,-0.027,-0.949
36,-0.016,-0.023,-0.953
37,-0.020,-0.020,-0.961
38,-0.023,-0.027,-0.953
39,-0.020,-0.074,-0.941
40,-0.020,-0.859,-0.891
41,-0.285,-1.773,-0.770
42,-0.469,-1.992,-0.762
43,-0.352,-1.992,-0.750
44,-0.164,-1.793,-0.836
45,0.043,-1.652,-1.160
46,0.594,-1.711,-1.422
47,0.945,-0.875,-1.340
48,0.441,-0.461,-1.039
49,-0.129,-0.512,-0.996
50,0.188,-0.688,-1.113
51,0.621,-0.598,-1.059
52,-0.219,-0.316,-0.758
53,-1.266,-0.945,-0.469
54,-1.094,-1.578,-0.477
55,0.004,-1.375,-0.785
56,0.555,-0.992,-1.074
57,0.262,-1.012,-1.188
58,-0.070,-1.305,-1.098
59,-0.078,-1.125,-1.023
60,-0.055,-0.918,-0.887
61,-0.004,-0.875,-0.988
62,0.227,-1.090,-1.055
63,0.391,-1.098,-1.070
64,0.117,-1.078,-0.965
65,-0.289,-1.148,-0.934
66,-0.324,-1.027,-0.828
67,-0.238,-1.094,-0.875
68,-0.043,-1.137,-0.977
69,0.297,-1.117,-0.980
70,0.129,-1.160,-0.965
71,-0.121,-0.855,-0.941
72,-0.031,-0.879,-0.922
73,0.238,-0.770,-0.980
74,0.164,-0.746,-1.098
75,0.051,-0.949,-0.984
76,-0.234,-1.426,-0.781
77,-0.512,-1.387,-0.789
78,-0.316,-0.867,-0.758
79,0.117,-0.547,-0.918
80,0.156,-0.598,-1.094
81,0.020,-1.410,-1.004
82,0.012,-1.605,-1.047
83,0.125,-1.242,-1.086
84,-0.164,-0.730,-0.840
85,-0.230,-0.906,-0.891
86,0.184,-1.191,-1.020
87,0.500,-1.398,-1.047
88,0.184,-1.246,-0.992
89,-0.516,-1.070,-0.996
90,-0.219,-0.844,-0.875
91,0.172,-0.871,-0.938
92,0.227,-1.098,-0.945
93,0.121,-1.172,-0.852
94,-0.215,-0.289,-0.988
95,0.031,0.469,-1.172
96,0.406,0.984,-1.145
97,0.238,0.922,-1.113
98,-0.160,0.707,-0.738
99,-0.453,0.719,-0.887
100,-0.359,1.586,-0.457
101,-0.395,-0.090,-0.773
102,-0.277,-0.750,-1.012
103,0.055,-0.715,-1.070
104,0.172,-0.613,-0.641
105,-0.871,-0.023,-0.723
106,-0.312,-0.125,-0.906
107,0.586,-0.578,-1.152
108,0.555,-0.402,-1.344
109,0.668,-0.086,-1.422
110,0.762,0.156,-1.215
111,0.035,-0.426,-0.996
112,-0.562,0.164,-1.066
113,-0.133,0.113,-0.566
114,-0.207,-0.195,-0.746
115,-0.387,-0.152,-0.730
116,-0.281,-0.129,-0.809
117,0.094,0.379,-0.977
118,-0.062,1.219,-1.145
119,0.031,-0.172,-0.941
120,0.059,-0.234,-1.043
121,0.363,0.176,-1.004
122,0.137,-0.051,-0.875
123,-0.816,-0.363,-0.582
124,-0.699,-0.020,-1.102
125,0.738,0.113,-0.965
126,0.332,-0.285,-0.895
127,-0.496,-0.293,-1.105
128,0.207,-0.551,-1.121
129,0.883,-0.156,-0.992
130,-0.285,0.391,-1.113
131,-0.758,0.055,-0.758
132,-0.051,-0.266,-0.688
133,0.359,-0.277,-1.055
134,0.430,-0.023,-1.188
135,-0.031,0.309,-0.984
136,-0.488,0.426,-0.930
137,-0.340,0.672,-1.020
138,0.133,0.238,-0.504
139,-0.152,-0.715,-0.926
140,-0.047,-0.523,-0.980
141,0.008,0.199,-0.902
142,-0.309,0.199,-0.871
143,-0.418,0.121,-1.098
144,0.492,-0.281,-1.051
145,0.523,-0.641,-1.016
146,0.242,0.156,-1.074
147,-0.195,0.289,-0.961
148,-0.137,-0.082,-0.957
149,0.129,-0.316,-1.109
150,0.438,-0.086,-1.055
151,-0.055,-0.105,-0.773
152,-0.801,-0.270,-0.734
153,-0.641,-0.039,-0.742
154,0.375,0.102,-1.082
155,0.730,0.730,-1.164
156,0.281,0.070,-1.004
157,-0.562,-0.281,-0.832
158,-0.422,0.270,-0.918
159,-0.227,-0.047,-0.785
160,-0.324,-0.133,-0.938
161,0.129,-0.227,-1.137
162,1.117,0.176,-1.035
163,0.191,-0.023,-0.996
164,-1.062,-0.430,-0.910
165,-0.141,-0.320,-0.934
166,0.617,0.297,-1.004
167,-0.008,0.047,-0.980
168,-0.312,-0.508,-0.926
169,0.273,-0.316,-0.961
170,0.473,0.512,-1.008
171,-0.250,0.480,-0.980
172,-0.629,-0.082,-0.891
173,-0.055,0.012,-0.945
174,0.387,-0.105,-0.918
175,0.051,-0.117,-1.070
176,-0.352,0.246,-0.719
177,-0.457,-0.340,-0.793
178,-0.277,-0.297,-0.988
179,0.039,-0.336,-1.137
180,0.762,0.059,-1.035
181,0.203,0.289,-1.098
182,0.020,0.156,-1.008
183,0.090,0.039,-0.840
184,-0.277,0.113,-0.930
185,-0.531,-0.078,-0.980
186,0.156,-0.496,-0.797
187,0.336,-0.289,-0.949
188,-0.113,0.203,-0.992
189,-0.238,0.152,-0.875
190,-0.199,-0.012,-1.004
191,0.227,0.363,-1.141
192,0.504,0.539,-1.051
193,-0.008,-0.562,-0.719
194,-0.801,-0.391,-0.812
195,-0.367,-0.582,-0.879
196,0.137,0.332,-0.926
197,0.090,0.312,-1.043
198,0.262,-0.312,-1.117
199,0.711,-0.152,-0.953
200,0.074,0.480,-1.039
201,-0.309,-0.102,-0.980
202,-0.629,-0.156,-0.965
203,-0.414,0.074,-0.898
204,0.328,-0.160,-0.859
205,0.410,-0.074,-0.871
206,0.074,0.148,-0.926
207,-0.230,0.359,-1.012
208,-0.363,0.852,-0.906
209,-0.008,-0.555,-1.035
210,0.234,-0.711,-1.055
211,0.324,-0.078,-0.996
212,-0.180,0.375,-0.734
213,-0.809,-0.492,-0.602
214,-0.750,-0.184,-1.039
215,1.082,0.000,-1.180
216,1.602,0.250,-1.426
217,0.191,0.453,-1.223
218,-0.762,-0.262,-0.793
219,-1.125,-0.641,-0.621
220,-0.598,-0.344,-0.695
221,0.461,0.199,-0.844
222,0.859,0.219,-0.992
223,-0.008,0.156,-1.168
224,-0.223,-0.047,-0.996
225,-0.273,-0.043,-1.055
226,0.238,0.820,-1.301
227,0.344,0.434,-0.660
228,-0.770,-0.805,-0.570
229,-1.012,-0.820,-0.922
230,0.586,-0.211,-0.910
231,0.590,-0.133,-0.926
232,-0.543,0.340,-1.238
233,0.273,-0.008,-1.055
234,0.676,-0.164,-1.023
235,-0.258,-0.164,-1.215
236,-0.082,0.023,-0.926
237,0.316,0.125,-0.723
238,-0.004,0.324,-1.074
239,-0.145,0.207,-0.746
240,-0.426,-0.469,-0.680
241,-0.469,-0.258,-1.133
242,0.504,0.266,-1.066
243,0.297,0.590,-0.922
244,-0.473,0.461,-0.984
245,0.012,-0.758,-0.898
246,0.379,-0.375,-0.852
247,-0.191,0.105,-0.938
248,-0.672,-0.250,-0.844
249,-0.383,-0.340,-0.812
250,0.051,-0.074,-1.094
251,0.555,-0.008,-1.074
252,0.465,0.004,-1.176
253,0.340,0.180,-1.129
254,-0.023,0.195,-0.887
255,-0.352,-0.016,-0.859
256,-0.355,-0.371,-0.945
257,0.090,-0.441,-0.852
258,-0.027,0.012,-0.879
259,-0.160,0.074,-0.863
260,-0.031,0.023,-0.953
261,0.141,0.320,-1.066
262,0.160,0.613,-0.988
263,0.008,-0.023,-1.113
264,-0.168,-0.297,-0.957
265,-0.102,0.020,-0.871
266,-0.207,0.312,-0.703
267,-0.285,-0.199,-0.953
268,0.070,-0.234,-1.090
269,0.449,-0.277,-0.965
270,-0.262,-0.289,-0.852
271,-0.602,-0.812,-0.883
272,0.391,0.039,-1.012
273,0.633,0.438,-1.234
274,0.156,0.426,-1.094
275,-0.191,-0.266,-0.922
276,-0.082,-0.395,-0.809
277,0.008,0.227,-0.879
278,0.133,0.523,-0.898
279,-0.246,0.195,-0.980
280,-0.379,0.125,-0.984
281,0.012,-0.199,-0.910
282,0.082,-0.039,-0.879
283,-0.176,-0.262,-0.781
284,-0.191,0.039,-0.938
285,0.055,-0.094,-1.035
286,0.234,-0.441,-1.098
287,-0.156,-0.500,-1.004
288,-0.164,-0.109,-0.965
289,0.426,0.137,-0.961
290,0.258,0.531,-0.996
291,-0.160,0.312,-0.965
292,-0.004,-0.254,-1.043
293,0.316,-0.086,-0.953
294,-0.148,0.160,-0.883
295,-0.535,-0.094,-0.648
296,-0.625,-0.164,-0.852
297,-0.129,-0.016,-1.070
298,0.496,0.039,-1.070
299,0.582,0.387,-1.035
300,0.219,0.008,-1.082
301,-0.160,0.004,-0.891
302,-0.699,-0.109,-0.754
303,-0.965,-0.391,-0.867
304,-0.035,-0.676,-0.898
305,1.031,0.184,-1.086
306,0.742,0.395,-1.211
307,0.094,0.203,-0.852
308,-0.562,-0.301,-0.906
309,-0.359,-0.281,-1.113
310,0.371,0.066,-0.980
311,0.137,-0.039,-0.879
312,-0.500,-0.207,-0.895
313,-0.027,-0.250,-0.754
314,0.016,0.434,-0.906
315,-0.070,0.184,-1.074
316,0.188,0.066,-0.980
317,0.156,-0.031,-0.957
318,-0.199,0.215,-1.168
319,-0.094,0.117,-0.730
320,-0.402,-0.566,-0.883
321,-0.309,-0.527,-0.965
322,0.527,0.449,-0.879
323,0.320,-0.145,-0.934
324,-0.391,-0.293,-1.137
325,0.082,-0.145,-0.953
326,0.500,0.285,-1.238
327,0.113,0.621,-1.059
328,-0.328,-0.164,-0.680
329,-0.621,-0.406,-0.734
330,-0.133,-0.203,-0.820
331,0.227,0.027,-0.812
332,-0.180,0.102,-1.039
333,0.102,0.184,-1.164
334,0.750,0.148,-1.188
335,0.273,0.539,-1.109
336,-0.422,-0.484,-0.699
337,-0.832,-0.359,-0.746
338,-0.457,-0.586,-0.867
339,0.379,0.176,-1.020
340,0.281,0.234,-0.957
341,-0.074,-0.152,-1.129
342,0.562,-0.199,-1.141
343,0.629,0.418,-1.129
344,-0.379,0.484,-0.832
345,-1.086,-0.258,-0.590
346,-0.527,-0.613,-0.875
347,0.684,-0.004,-0.965
348,0.602,0.363,-1.020
349,-0.211,0.055,-1.020
350,-0.168,-0.105,-0.930
351,0.270,0.387,-1.031
352,0.090,0.039,-1.211
353,-0.281,-0.152,-0.855
354,-0.141,-0.477,-0.777
355,-0.027,-0.051,-0.859
356,-0.312,-0.398,-0.805
357,-0.262,0.137,-0.961
358,0.258,-0.074,-1.070
359,0.430,-0.121,-1.109
360,-0.023,0.070,-1.059
361,0.027,-0.094,-1.047
362,0.238,0.242,-0.941
363,-0.125,0.441,-0.926
364,-0.512,-0.191,-0.828
365,-0.371,-0.602,-0.746
366,0.008,-0.090,-0.914
367,0.387,0.230,-0.992
368,0.090,0.355,-1.078
369,0.078,0.770,-1.160
370,0.395,-0.469,-1.016
371,-0.516,-0.273,-0.828
372,-0.660,-0.270,-0.820
373,-0.012,0.031,-0.691
374,0.191,1.141,-1.020
375,0.238,1.273,-1.348
376,0.809,1.547,-1.191
377,0.344,1.922,-1.242
378,-0.012,1.914,-0.867
379,-0.523,1.438,-0.668
380,-0.852,1.352,-0.719
381,-0.223,0.902,-0.652
382,0.051,0.637,-0.828
383,-0.090,0.734,-0.980
384,-0.039,0.785,-0.898
385,-0.066,0.887,-1.043
386,0.105,0.820,-1.234
387,0.406,0.793,-1.004
388,-0.145,1.094,-1.094
389,0.055,1.438,-1.062
390,0.789,0.633,-1.117
391,-0.090,0.531,-1.047
392,-0.711,0.617,-0.688
393,-0.750,0.949,-0.516
394,-0.418,1.547,-0.883
395,0.543,1.559,-1.164
396,0.918,0.930,-1.191
397,0.035,0.871,-1.172
398,-0.191,1.000,-0.656
399,-0.637,0.984,-0.641
400,-0.457,0.992,-0.906
401,0.344,0.629,-1.078
402,0.574,0.770,-1.184
403,0.078,0.996,-1.082
404,-0.238,0.992,-0.824
405,-0.125,1.277,-1.004
406,0.285,1.297,-1.117
407,0.152,1.109,-0.961
408,-0.359,0.695,-0.938
409,-0.219,0.754,-0.793
410,-0.059,1.172,-0.816
411,-0.199,1.344,-0.988
412,0.062,0.980,-1.027
413,0.336,0.699,-1.055
414,0.105,0.734,-0.930
415,-0.371,0.906,-0.762
416,-0.480,1.176,-0.918
417,0.199,1.316,-1.125
418,0.770,1.230,-1.188
419,0.234,0.828,-1.000
420,-0.609,0.570,-0.742
421,-0.629,0.926,-0.727
422,-0.012,1.410,-0.945
423,0.379,1.188,-1.105
424,0.191,0.652,-1.070
425,-0.109,0.508,-0.938
426,-0.199,0.902,-0.852
427,0.004,0.902,-0.930
428,0.164,0.355,-0.949
429,-0.043,-0.004,-0.914
430,-0.270,-0.086,-0.844
431,0.113,-0.164,-0.953
432,0.871,-0.031,-0.953
433,1.105,-0.152,-1.184
434,1.566,-0.207,-1.113
435,1.617,-0.031,-1.102
436,0.902,0.117,-1.016
437,0.727,-0.332,-1.023
438,1.301,-0.582,-0.875
439,1.555,-0.398,-0.832
440,1.590,0.141,-0.816
441,1.699,0.410,-0.758
442,1.555,0.184,-0.973
443,1.559,-0.281,-0.938
444,1.648,-0.465,-1.164
445,1.941,-0.230,-1.008
446,1.777,-0.031,-1.203
447,1.953,0.078,-0.766
448,1.633,-0.523,-1.230
449,1.648,-0.598,-1.055
450,1.664,-0.543,-0.988
451,1.430,-0.102,-0.875
452,1.281,-0.082,-0.887
453,0.973,-0.035,-1.059
454,1.051,-0.129,-0.863
455,0.516,-0.152,-1.090
456,1.254,0.141,-0.805
457,0.918,0.098,-0.918
458,0.469,0.281,-0.969
459,0.539,0.184,-0.852
460,0.512,0.301,-1.078
461,1.086,0.148,-1.125
462,0.633,-0.070,-1.023
463,-0.141,-0.395,-0.875
464,-0.422,0.172,-0.902
465,0.020,0.520,-0.930
466,0.770,0.734,-1.164
467,0.867,-0.281,-1.223
468,0.871,-0.270,-0.855
469,0.000,0.023,-0.652
470,-0.066,0.555,-0.734
471,0.398,0.219,-1.055
472,1.102,-0.559,-1.250
473,1.168,-0.410,-1.473
474,1.281,0.309,-0.883
475,1.160,0.344,-0.902
476,1.195,-0.074,-0.820
477,1.250,-0.312,-0.809
478,0.383,0.145,-0.801
479,0.281,-0.387,-1.016
480,1.445,-0.352,-0.785
481,1.293,-0.180,-1.102
482,1.785,0.418,-0.832
483,1.910,0.293,-0.945
484,1.551,-0.316,-1.254
485,1.441,-0.410,-1.082
486,0.863,-0.223,-1.109
487,0.734,-0.168,-0.965
488,0.602,-0.863,-0.953
489,0.391,-0.785,-0.648
490,-0.047,-0.656,-0.684
491,0.105,-0.238,-0.441
492,-0.055,0.434,-0.824
493,-0.547,0.336,-1.547
494,-0.652,0.402,-1.703
495,0.062,0.395,-1.520
496,0.066,0.312,-1.215
497,-0.766,0.852,-0.867
498,-1.418,0.844,-0.301
499,-1.984,0.344,-0.168
500,-1.992,-0.676,-0.598
501,-1.738,-0.918,-0.570
502,-0.887,0.074,-1.234
503,0.215,0.547,-1.219
504,-0.133,0.133,-0.844
505,-1.320,0.410,-1.156
506,-0.793,0.254,-0.973
507,-0.441,-0.371,-1.305
508,-0.184,-0.266,-1.316
509,0.785,-0.348,-0.840
510,0.465,0.098,-0.746
511,0.125,0.230,-0.602
512,0.719,-0.105,-0.590
513,0.004,-0.305,-1.188
514,0.359,-0.184,-1.098
515,1.258,0.289,-1.027
516,1.086,-0.234,-1.441
517,1.895,0.164,-0.809
518,1.098,-0.289,-1.082
519,0.863,0.141,-0.465
520,-0.047,-0.352,-0.984
521,0.441,-0.406,-0.891
522,0.742,-0.590,-0.844
523,0.215,-0.449,-0.832
524,0.785,-0.062,-0.762
525,0.625,-0.195,-0.887
526,0.336,-0.250,-1.344
527,0.797,0.184,-1.293
528,0.633,0.688,-1.297
529,-0.594,0.344,-1.375
530,-1.141,-0.305,-0.895
531,-0.828,-0.133,-0.594
532,-0.945,0.609,-0.762
533,-0.352,0.645,-0.434
534,-1.793,-0.141,-0.762
535,-1.973,-0.418,-0.676
536,-1.484,-0.191,-0.984
537,-0.793,-0.031,-0.902
538,-0.508,0.254,-1.105
539,-0.238,0.277,-1.188
540,0.742,0.156,-0.953
541,0.039,0.305,-1.551
542,-0.352,0.109,-0.984
543,-0.484,0.055,-0.695
544,-0.797,-0.297,-1.020
