Sample,X,Y,Z
0,-0.004,1.008,-1.109
1,-0.836,1.168,-1.359
2,-1.082,1.395,-1.711
3,-1.020,-0.109,-1.484
4,-1.254,-0.793,-0.957
5,-1.367,0.332,-0.543
6,-1.469,1.250,-0.504
7,-1.918,0.707,-0.738
8,-1.730,-0.840,-0.840
9,-0.668,-1.289,-1.219
10,-0.207,-0.281,-1.148
11,-0.625,-0.500,-0.992
12,-1.027,-1.207,-0.602
13,-0.668,-1.715,-0.355
14,0.027,-1.465,-0.637
15,-0.023,-0.953,-0.883
16,-0.074,-1.012,-1.055
17,0.551,-1.797,-1.328
18,0.652,-1.688,-1.125
19,0.863,-0.809,-0.758
20,0.812,-0.820,-0.848
21,0.621,-1.523,-0.418
22,0.172,-1.988,-0.840
23,0.309,-1.477,-1.117
24,1.227,-0.031,-1.086
25,1.383,0.969,-1.188
26,0.961,0.523,-1.078
27,0.688,-0.680,-1.004
28,0.098,-1.824,-0.980
29,0.055,-1.496,-0.609
30,1.094,-0.422,-0.867
31,1.777,-0.574,-1.125
32,1.949,-1.230,-1.027
33,1.395,-1.004,-1.195
34,0.891,-0.199,-1.008
35,1.129,0.527,-0.930
36,1.629,0.992,-1.137
37,1.961,0.359,-1.074
38,1.211,0.422,-1.098
39,0.645,0.695,-0.781
40,0.805,0.297,-0.938
41,1.066,-0.266,-0.855
42,1.461,-0.324,-0.746
43,1.164,-0.332,-1.258
44,0.457,-0.113,-1.219
45,0.402,0.254,-1.277
46,0.250,-0.047,-1.305
47,0.285,0.027,-1.098
48,-0.230,0.441,-0.754
49,-0.484,0.824,-0.723
50,-0.230,-0.270,-0.590
51,-1.340,0.051,-0.723
52,-1.848,-0.117,-1.461
53,-0.723,-1.027,-1.809
54,-0.578,-0.914,-1.730
55,-1.496,-0.582,-0.906
56,-1.883,-0.188,-0.473
57,-1.988,0.297,-0.289
58,-1.992,-0.500,-0.129
59,-1.992,-1.121,-0.445
60,-1.902,-1.145,-1.273
61,-1.832,-0.980,-1.305
62,-1.234,-0.852,-1.488
63,-1.465,-1.086,-0.949
64,-1.934,-1.758,-0.301
65,-1.992,-1.992,0.035
66,-1.992,-1.773,-0.184
67,-1.578,-0.812,-1.008
68,-0.141,-0.598,-1.656
69,1.199,-0.629,-1.543
70,1.727,0.043,-1.328
71,1.055,0.203,-1.121
72,0.051,0.559,-0.762
73,0.031,-0.406,-0.223
74,0.688,-1.992,-0.922
75,0.852,-1.895,-0.867
76,1.602,-0.418,-0.527
77,1.465,0.047,-1.012
78,0.523,-0.363,-1.258
79,0.355,-0.609,-1.113
80,0.934,-0.484,-1.148
81,0.965,0.762,-0.887
82,0.961,0.922,-0.738
83,0.938,0.574,-0.789
84,0.645,0.098,-0.793
85,0.875,1.117,-0.992
86,0.141,1.395,-1.016
87,1.070,1.320,-0.766
88,1.070,0.227,-1.543
89,0.164,0.887,-0.734
90,0.262,1.992,-0.449
91,-0.270,1.992,-1.445
92,-0.473,0.809,-0.754
93,-0.785,0.355,-0.566
94,-0.594,-0.500,-0.938
95,-0.547,-0.527,-0.695
96,-1.137,0.680,-0.934
97,-1.293,1.312,-1.352
98,-0.277,0.270,-1.441
99,-0.262,-0.641,-1.336
100,-0.277,-0.715,-0.660
101,-0.008,0.199,-0.191
102,-0.344,0.930,-0.473
103,-0.527,0.293,-0.781
104,0.230,-0.473,-1.102
105,0.871,-0.203,-1.312
106,0.898,0.590,-1.074
107,0.141,1.207,-0.930
108,-0.387,0.492,-0.957
109,-0.059,-1.449,-1.039
110,-0.039,-0.594,-0.648
111,0.426,0.398,-0.727
112,0.641,0.738,-1.164
113,0.402,0.027,-1.160
114,0.105,-0.605,-0.941
115,0.008,-0.805,-0.758
116,-0.191,-0.242,-1.012
117,-0.441,0.676,-1.051
118,-1.105,0.156,-0.949
119,-1.848,1.441,-1.617
120,-1.137,1.430,-1.668
121,-0.219,0.949,-0.914
122,-1.449,0.145,-0.422
123,-1.727,-0.277,-0.062
124,-1.992,-0.129,-0.473
125,-1.992,-0.156,-1.250
126,-1.520,-0.109,-1.543
127,-0.797,-0.211,-1.652
128,-1.277,0.129,-1.215
129,-1.992,0.723,-0.527
130,-1.992,0.305,-0.281
131,-1.969,0.211,-0.504
132,-0.945,0.320,-0.480
133,-0.457,0.395,-1.066
134,-0.691,0.094,-1.289
135,-0.449,-0.375,-1.316
136,-0.383,-0.461,-1.117
137,-0.430,-0.969,-0.895
138,-0.391,-0.590,-0.699
139,-0.484,-0.109,-0.602
140,-0.324,-0.082,-0.668
141,0.074,0.012,-0.973
142,0.820,-0.078,-1.078
143,1.375,0.094,-1.023
144,1.387,-0.047,-0.945
145,1.152,0.047,-0.977
146,1.211,0.137,-1.031
147,1.629,0.211,-0.996
148,1.684,0.133,-0.820
149,1.391,0.402,-0.762
150,1.594,-0.164,-1.070
151,1.633,-0.586,-1.055
152,1.719,-0.355,-0.898
153,1.922,-0.215,-0.996
154,1.695,-0.270,-1.020
155,1.387,-0.184,-1.000
156,1.480,-0.098,-0.961
157,1.508,0.129,-0.973
158,1.164,0.824,-0.988
159,0.707,1.922,-1.043
160,1.035,1.992,-1.438
161,1.121,1.395,-1.434
162,1.164,0.316,-0.941
163,0.008,0.625,-0.164
164,-0.363,1.824,-0.309
165,0.059,1.992,-0.930
166,0.449,1.160,-1.465
167,0.746,-0.441,-1.586
168,0.773,-0.062,-1.238
169,-0.215,1.316,-0.793
170,-1.043,0.688,-0.785
