Sample,X,Y,Z
0,-0.016,-0.039,-0.953
1,-0.020,-0.023,-0.957
2,-0.012,-0.016,-0.953
3,-0.012,-0.027,-0.953
4,-0.012,-0.020,-0.965
5,-0.020,-0.027,-0.961
6,-0.016,-0.023,-0.953
7,-0.023,-0.027,-0.953
8,-0.016,-0.012,-0.953
9,-0.016,-0.027,-0.961
10,-0.023,-0.016,-0.957
11,-0.020,-0.031,-0.965
12,-0.023,-0.004,-0.957
13,-0.020,-0.027,-0.957
14,-0.016,-0.020,-0.961
15,-0.027,-0.027,-0.965
16,-0.020,-0.016,-0.953
17,-0.012,-0.031,-0.961
18,-0.020,-0.008,-0.961
19,-0.016,-0.031,-0.957
20,-0.020,-0.027,-0.953
21,-0.023,-0.012,-0.953
22,-0.016,-0.020,-0.957
23,-0.016,-0.023,-0.957
24,-0.016,-0.023,-0.961
25,-0.023,-0.020,-0.965
26,-0.016,-0.020,-0.961
27,-0.020,-0.012,-0.961
28,-0.008,-0.035,-0.961
29,-0.020,-0.012,-0.949
30,-0.023,-0.035,-0.957
31,-0.016,-0.016,-0.965
32,-0.012,-0.023,-0.961
33,-0.012,-0.020,-0.957
34,-0.016,-0.020,-0.961
35,-0.023,-0.012,-0.953
36,-0.027,-0.035,-0.953
37,-0.023,-0.020,-0.957
38,-0.016,-0.031,-0.957
39,-0.012,-0.020,-0.957
40,-0.031,-0.035,-0.938
41,-0.023,-0.027,-0.957
42,-0.020,-0.027,-0.957
43,-0.023,-0.020,-0.961
44,-0.004,-0.027,-0.957
45,-0.020,-0.031,-0.957
46,-0.023,-0.020,-0.965
47,-0.023,-0.027,-0.957
48,-0.012,-0.008,-0.953
49,-0.016,-0.020,-0.965
50,-0.023,-0.023,-0.957
51,-0.016,-0.031,-0.953
52,-0.020,-0.016,-0.953
53,-0.020,-0.035,-0.957
54,-0.016,-0.012,-0.961
55,-0.008,-0.027,-0.961
56,-0.016,-0.016,-0.953
57,-0.023,-0.023,-0.957
58,-0.023,-0.020,-0.957
59,-0.027,-0.035,-0.961
60,-0.039,-0.004,-0.945
61,-0.016,-0.023,-0.965
62,-0.012,-0.023,-0.957
63,-0.020,-0.031,-0.957
64,-0.012,-0.020,-0.961
65,-0.016,-0.020,-0.949
66,-0.020,-0.020,-0.961
67,-0.023,-0.031,-0.953
68,-0.020,-0.016,-0.961
69,-0.016,-0.023,-0.961
70,-0.023,-0.023,-0.957
71,-0.023,-0.020,-0.961
72,-0.020,-0.039,-0.957
73,-0.020,-0.016,-0.953
74,-0.016,-0.027,-0.957
75,-0.020,-0.020,-0.961
76,-0.020,-0.039,-0.953
77,-0.023,-0.008,-0.961
78,-0.016,-0.027,-0.953
79,-0.027,-0.012,-0.961
80,-0.023,-0.031,-0.953
81,-0.016,-0.043,-0.961
82,-0.023,-0.016,-0.949
83,-0.016,-0.020,-0.961
84,-0.023,-0.023,-0.957
85,-0.020,-0.012,-0.965
86,-0.020,-0.020,-0.961
87,-0.020,-0.027,-0.949
88,-0.023,-0.016,-0.957
89,-0.020,-0.031,-0.961
90,-0.020,-0.020,-0.957
91,-0.023,-0.020,-0.961
92,-0.008,-0.027,-0.957
93,-0.016,-0.023,-0.949
94,-0.016,-0.008,-0.957
95,-0.016,-0.035,-0.961
96,-0.031,-0.012,-0.961
97,-0.020,-0.027,-0.945
98,-0.016,-0.008,-0.957
99,-0.008,0.055,-0.961
100,-0.020,0.234,-0.957
101,0.023,0.215,-0.961
102,0.176,-0.125,-0.938
103,0.141,-0.242,-0.926
104,0.160,0.086,-0.852
105,0.289,0.109,-0.879
106,0.523,-0.195,-1.023
107,0.750,-0.293,-1.031
108,0.719,-0.109,-0.934
109,0.543,0.188,-0.895
110,0.660,0.168,-0.977
111,0.938,-0.168,-1.113
112,0.918,-0.238,-1.102
113,0.656,-0.148,-0.973
114,0.484,-0.242,-0.934
115,0.461,-0.199,-1.008
116,0.602,-0.031,-1.074
117,0.766,-0.008,-1.074
118,0.582,-0.066,-1.023
119,0.582,-0.066,-1.023
120,0.070,0.031,-0.910
121,-0.246,0.285,-0.812
122,-0.152,0.039,-0.883
123,0.105,-0.332,-0.957
124,-0.059,-0.047,-0.980
125,-0.199,0.367,-0.852
126,-0.234,0.164,-0.859
127,-0.117,-0.113,-1.016
128,0.133,0.027,-1.004
129,0.078,0.344,-0.977
130,-0.070,0.176,-0.957
131,-0.023,-0.367,-0.902
132,-0.023,-0.516,-0.898
133,0.094,-0.098,-0.926
134,0.344,0.348,-0.934
135,0.520,0.234,-1.039
136,0.680,0.008,-1.102
137,0.656,-0.133,-0.957
138,0.371,0.070,-0.922
139,0.297,0.020,-0.855
140,0.367,-0.098,-0.906
141,0.605,-0.184,-0.973
142,0.824,-0.215,-0.992
143,0.797,-0.055,-0.977
144,0.641,0.078,-1.008
145,0.617,-0.277,-1.070
146,0.555,-0.113,-1.090
147,0.473,0.219,-1.109
148,0.590,-0.031,-1.082
149,0.469,-0.418,-0.930
150,-0.129,-0.387,-0.812
151,-0.340,0.176,-0.727
152,-0.070,0.547,-0.840
153,0.312,0.258,-1.098
154,0.402,-0.367,-1.094
155,-0.180,-0.395,-0.902
156,-0.676,0.391,-0.770
157,-0.242,0.480,-0.809
158,0.320,0.047,-1.109
159,0.434,-0.344,-1.105
160,0.004,-0.215,-0.980
161,-0.293,0.125,-0.789
162,-0.035,0.258,-0.859
163,0.383,-0.078,-1.004
164,0.633,-0.281,-1.074
165,0.500,-0.180,-0.965
166,0.219,0.145,-0.941
167,0.293,0.254,-0.930
168,0.543,0.148,-1.012
169,0.777,-0.211,-0.992
170,0.676,-0.445,-0.961
171,0.453,-0.238,-0.871
172,0.480,0.152,-0.875
173,0.551,0.113,-1.059
174,0.719,-0.199,-1.172
175,0.699,-0.324,-1.168
176,0.566,-0.195,-1.012
177,0.395,0.074,-0.914
178,0.164,0.098,-0.941
