Sample,X,Y,Z
0,-0.023,-0.023,-0.953
1,-0.031,-0.027,-1.086
2,-0.031,-0.016,-0.965
3,-0.027,-0.027,-0.957
4,-0.023,-0.035,-0.961
5,-0.027,-0.016,-0.957
6,-0.020,-0.016,-0.961
7,-0.016,-0.027,-0.957
8,-0.016,-0.020,-0.957
9,-0.023,-0.035,-0.957
10,-0.023,-0.020,-0.961
11,-0.020,-0.023,-0.953
12,-0.020,-0.016,-0.957
13,-0.016,-0.027,-0.961
14,-0.031,-0.016,-0.961
15,-0.031,-0.012,-0.953
16,-0.035,-0.020,-0.953
17,-0.020,-0.016,-0.957
18,-0.020,-0.027,-0.953
19,-0.023,-0.020,-0.961
20,-0.039,-0.043,-0.969
21,-0.016,-0.023,-0.961
22,-0.027,-0.020,-0.953
23,-0.023,-0.023,-0.965
24,-0.023,-0.027,-0.957
25,-0.027,-0.023,-0.953
26,-0.027,-0.020,-0.961
27,-0.035,-0.023,-0.965
28,-0.016,-0.020,-0.961
29,-0.023,-0.031,-0.953
30,-0.016,-0.023,-0.961
31,-0.031,-0.023,-0.949
32,-0.031,-0.012,-0.961
33,-0.027,-0.031,-0.957
34,-0.031,-0.016,-0.965
35,-0.012,-0.020,-0.961
36,-0.023,-0.016,-0.961
37,-0.023,-0.027,-0.957
38,-0.023,-0.023,-0.957
39,-0.031,-0.027,-0.953
40,-0.004,-0.031,-0.969
41,-0.023,-0.027,-0.957
42,-0.012,-0.020,-0.953
43,-0.016,-0.023,-0.957
44,-0.031,-0.020,-0.953
45,-0.027,-0.027,-0.949
46,-0.023,-0.016,-0.965
47,-0.020,-0.023,-0.953
48,-0.023,-0.016,-0.965
49,-0.027,-0.031,-0.961
50,-0.016,-0.016,-0.953
51,-0.020,-0.023,-0.957
52,-0.016,-0.020,-0.965
53,-0.016,-0.027,-0.953
54,-0.027,-0.031,-0.957
55,-0.023,-0.020,-0.953
56,-0.023,-0.023,-0.957
57,-0.023,-0.016,-0.961
58,-0.008,-0.039,-0.961
59,-0.020,-0.016,-0.953
60,-0.023,-0.016,-0.957
61,-0.023,-0.020,-0.957
62,-0.023,-0.016,-0.957
63,-0.020,-0.016,-0.953
64,-0.023,-0.023,-0.953
65,-0.020,-0.023,-0.957
66,-0.035,-0.023,-0.957
67,-0.012,-0.016,-0.953
68,-0.012,-0.027,-0.957
69,-0.016,-0.023,-0.957
70,-0.027,-0.023,-0.949
71,-0.027,-0.031,-0.957
72,-0.023,-0.020,-0.953
73,-0.012,-0.020,-0.965
74,-0.027,-0.031,-0.953
75,-0.023,-0.023,-0.953
76,-0.020,-0.016,-0.957
77,-0.016,-0.027,-0.961
78,-0.016,-0.016,-0.957
79,-0.027,-0.027,-0.965
80,-0.051,-0.035,-0.969
81,-0.023,-0.012,-0.961
82,-0.016,-0.023,-0.957
83,-0.012,-0.023,-0.957
84,-0.027,-0.020,-0.957
85,-0.023,-0.023,-0.961
86,-0.020,-0.016,-0.957
87,-0.020,-0.020,-0.961
88,-0.020,-0.027,-0.957
89,-0.016,-0.023,-0.957
90,-0.020,-0.016,-0.957
91,-0.016,-0.027,-0.957
92,-0.027,-0.023,-0.957
93,-0.023,-0.027,-0.953
94,-0.023,-0.016,-0.965
95,-0.016,-0.016,-0.953
96,-0.023,-0.020,-0.961
97,-0.020,-0.023,-0.961
98,-0.020,-0.016,-0.961
99,-0.023,0.043,-0.953
100,-0.031,-0.012,-0.957
101,0.008,-0.480,-0.945
102,-0.102,-0.906,-0.879
103,-0.266,-1.125,-0.840
104,-0.215,-0.934,-0.938
105,0.059,-0.629,-1.031
106,0.309,-0.535,-1.156
107,0.410,-0.465,-1.129
108,0.211,-0.117,-1.004
109,-0.070,0.312,-0.898
110,-0.234,0.281,-0.895
111,-0.188,-0.086,-0.871
112,-0.141,-0.328,-0.832
113,-0.137,-0.227,-0.805
114,-0.160,-0.262,-0.848
115,-0.094,-0.770,-0.988
116,0.016,-1.082,-1.047
117,0.078,-0.691,-1.043
118,0.168,-0.055,-1.094
119,0.324,-0.043,-1.145
120,0.266,-0.465,-1.164
121,0.004,-0.406,-0.934
122,-0.395,-0.109,-0.719
123,-0.418,-0.039,-0.762
124,-0.055,-0.184,-0.891
125,0.125,-0.609,-0.934
126,-0.086,-0.551,-0.910
127,-0.160,-0.230,-0.891
128,0.016,-0.023,-1.020
129,0.309,-0.090,-1.176
130,0.270,-0.449,-1.102
131,-0.137,-0.777,-0.918
132,-0.379,-0.395,-0.820
133,-0.152,-0.102,-0.871
134,0.129,-0.105,-0.965
135,0.035,-0.312,-1.027
136,0.016,-0.531,-0.883
137,-0.176,-0.102,-0.887
138,-0.070,-0.117,-0.988
139,0.059,-0.465,-1.004
140,-0.020,-0.613,-1.016
141,0.070,-0.508,-0.906
142,0.074,-0.230,-0.863
143,-0.055,-0.180,-1.023
144,-0.070,-0.551,-1.035
145,-0.039,-0.695,-0.996
146,0.008,-0.246,-0.844
147,0.062,-0.039,-0.844
148,-0.051,-0.215,-0.965
149,-0.203,-0.488,-1.145
150,-0.078,-0.551,-0.977
151,0.066,0.039,-0.852
152,0.242,0.137,-0.895
153,0.141,-0.469,-0.883
154,-0.461,-0.793,-1.062
155,-0.465,-0.613,-0.984
156,0.199,-0.086,-0.910
157,0.523,0.125,-1.039
158,0.461,-0.484,-0.949
159,-0.371,-0.727,-1.008
160,-0.629,-0.277,-0.957
161,0.020,-0.027,-0.902
162,0.348,-0.129,-0.945
163,0.215,-0.465,-0.926
164,-0.328,-0.711,-0.918
165,-0.484,-0.352,-0.965
166,0.059,-0.082,-0.934
167,0.406,-0.113,-1.047
168,0.320,-0.383,-1.008
169,-0.148,-0.730,-0.914
170,-0.477,-0.496,-0.914
171,-0.160,-0.062,-0.941
172,0.383,-0.109,-0.969
173,0.262,-0.398,-1.004
174,-0.152,-0.641,-0.969
175,-0.316,-0.168,-0.859
176,-0.156,0.082,-0.895
177,0.176,-0.195,-1.023
178,0.246,-0.406,-1.066
179,-0.047,-0.547,-0.961
180,-0.266,-0.754,-0.898
181,-0.281,-0.137,-0.887
182,0.176,-0.016,-0.918
183,0.359,-0.738,-1.035
184,0.020,-0.500,-1.203
185,-0.141,0.352,-0.723
186,-0.242,-0.449,-0.766
187,-0.336,-0.367,-1.133
188,0.340,-0.297,-0.910
189,0.090,-0.398,-0.879
190,-0.352,-0.180,-1.086
191,0.184,-0.234,-0.918
192,0.230,-0.121,-0.988
193,0.055,-0.301,-1.055
194,-0.043,-0.812,-0.957
195,-0.383,-0.500,-0.859
196,-0.266,-0.395,-0.828
197,0.129,-0.602,-0.949
198,0.230,-0.312,-1.117
199,0.285,-0.184,-1.035
200,-0.039,-0.297,-0.949
201,-0.273,-0.094,-0.883
202,-0.062,-0.109,-0.941
203,0.043,-0.020,-1.035
204,0.055,-0.305,-1.016
205,-0.199,-0.465,-0.816
206,-0.219,-0.379,-0.809
207,-0.035,-0.414,-0.934
208,0.090,-0.469,-1.016
209,0.059,-0.609,-1.094
210,0.055,-0.660,-1.000
211,0.035,-0.312,-0.945
212,0.016,-0.379,-1.059
213,0.109,-0.113,-1.039
214,0.027,0.508,-1.047
215,0.184,0.219,-0.754
216,-0.145,-0.336,-0.910
217,-0.277,0.312,-0.906
218,0.160,-0.707,-0.609
219,-0.629,-1.699,-1.016
220,-0.629,-1.109,-0.984
221,0.242,-0.141,-0.918
222,0.621,0.156,-1.199
223,0.793,-0.320,-1.484
