Sample,X,Y,Z
0,-0.008,-0.473,-1.172
1,-0.020,-0.023,-0.957
2,-0.031,-0.027,-0.957
3,-0.023,-0.035,-0.957
4,-0.027,-0.020,-0.953
5,-0.020,-0.020,-0.957
6,-0.027,-0.027,-0.961
7,-0.023,-0.031,-0.957
8,-0.023,-0.039,-0.961
9,-0.027,-0.023,-0.953
10,-0.023,-0.020,-0.953
11,-0.031,-0.020,-0.953
12,-0.023,-0.027,-0.949
13,-0.020,-0.031,-0.953
14,-0.023,-0.027,-0.957
15,-0.031,-0.031,-0.953
16,-0.031,-0.027,-0.953
17,-0.020,-0.020,-0.957
18,-0.016,-0.023,-0.961
19,-0.023,-0.023,-0.953
20,-0.012,-0.023,-0.965
21,-0.016,-0.020,-0.961
22,-0.023,-0.023,-0.957
23,-0.027,-0.023,-0.953
24,-0.027,-0.023,-0.957
25,-0.031,-0.031,-0.961
26,-0.020,-0.043,-0.953
27,-0.008,-0.023,-0.957
28,-0.023,-0.016,-0.953
29,-0.027,-0.023,-0.957
30,-0.031,-0.027,-0.953
31,-0.020,-0.027,-0.961
32,-0.020,-0.020,-0.957
33,-0.020,-0.020,-0.949
34,-0.027,-0.027,-0.961
35,-0.016,-0.027,-0.957
36,-0.016,-0.031,-0.957
37,-0.023,-0.012,-0.945
38,-0.035,-0.020,-0.953
39,-0.023,-0.031,-0.957
40,-0.047,-0.035,-0.953
41,-0.020,-0.020,-0.957
42,-0.023,-0.016,-0.957
43,-0.027,-0.023,-0.945
44,-0.027,-0.031,-0.957
45,-0.020,-0.035,-0.957
46,-0.016,-0.020,-0.953
47,-0.027,-0.023,-0.961
48,-0.027,-0.023,-0.957
49,-0.016,-0.031,-0.961
50,-0.020,-0.027,-0.961
51,-0.031,-0.023,-0.957
52,-0.023,-0.020,-0.957
53,-0.020,-0.027,-0.961
54,-0.012,-0.035,-0.957
55,-0.031,-0.027,-0.949
56,-0.027,-0.023,-0.953
57,-0.035,-0.027,-0.965
58,-0.012,0.023,-0.945
59,-0.055,0.043,-0.953
60,-0.020,0.051,-0.984
61,0.219,0.027,-1.027
62,0.520,0.023,-0.961
63,0.559,-0.020,-0.781
64,0.492,-0.004,-0.703
65,0.609,0.055,-0.789
66,0.859,0.098,-0.930
67,1.016,0.168,-1.070
68,0.961,0.156,-1.059
69,0.938,0.117,-1.008
70,1.055,-0.277,-1.164
71,1.148,-0.004,-0.859
72,1.516,-0.234,-0.742
73,1.523,-0.258,-0.977
74,0.855,-0.371,-0.930
75,0.977,-0.422,-1.078
76,1.156,0.102,-1.129
77,1.422,0.047,-1.020
78,1.234,-0.055,-0.875
79,0.801,-0.160,-0.758
80,0.785,-0.203,-1.055
81,0.766,0.156,-1.125
82,1.172,0.262,-1.277
83,1.027,0.160,-1.141
84,0.680,0.105,-0.969
85,0.434,-0.223,-0.762
86,0.457,0.031,-0.777
87,0.914,0.043,-0.973
88,0.938,-0.168,-1.023
89,0.383,-0.383,-1.133
90,0.145,0.051,-1.180
91,0.473,0.129,-1.238
92,0.496,-0.195,-1.098
93,0.285,-0.160,-0.969
94,0.301,0.098,-0.805
95,0.250,0.266,-0.805
96,0.492,0.160,-0.820
97,0.570,-0.246,-0.906
98,0.477,-0.121,-0.961
99,0.402,0.285,-0.965
100,0.457,0.078,-1.016
101,0.617,-0.066,-1.137
102,0.766,-0.262,-1.012
103,0.820,-0.031,-0.797
104,0.613,0.141,-0.797
105,0.453,-0.172,-0.758
106,0.691,-0.254,-1.051
107,0.957,-0.406,-1.102
108,1.098,0.039,-1.047
109,0.793,0.164,-0.898
110,0.723,0.270,-0.867
111,1.004,-0.242,-0.906
112,1.000,-0.160,-0.949
113,0.758,0.070,-1.082
114,0.766,0.207,-0.691
115,0.691,-0.016,-1.285
116,0.969,-0.418,-1.230
117,1.215,-0.125,-0.926
118,0.484,0.125,-0.926
119,0.484,0.125,-0.926
120,0.727,0.094,-0.645
121,0.512,-0.039,-1.113
122,0.852,-0.301,-1.031
123,0.812,0.160,-1.023
124,0.660,0.520,-1.074
125,0.520,0.082,-0.836
126,0.406,-0.227,-0.996
127,0.520,-0.586,-0.930
128,0.727,0.020,-1.039
129,0.520,0.477,-0.961
130,0.629,0.258,-0.996
131,0.371,-0.562,-0.891
132,0.434,-0.492,-0.957
133,0.676,0.168,-1.098
134,0.609,0.730,-0.926
135,0.477,0.266,-0.809
136,0.266,-0.691,-1.012
137,0.750,-0.461,-0.949
138,0.922,0.367,-0.867
139,0.465,0.578,-1.035
140,0.621,-0.105,-0.797
141,0.562,-0.770,-0.875
142,0.566,-0.102,-1.176
143,1.172,0.305,-1.008
144,0.461,0.574,-0.836
145,0.680,-0.379,-1.098
146,0.621,-0.602,-0.688
147,0.387,0.133,-1.211
148,0.652,0.398,-1.027
149,1.035,0.141,-0.988
150,0.875,-0.512,-1.027
151,0.586,-0.312,-0.922
152,0.547,0.328,-0.723
153,0.902,0.402,-0.859
154,0.820,-0.148,-1.023
155,0.652,-0.402,-1.465
156,0.758,-0.328,-0.789
157,0.828,0.215,-0.984
158,0.570,0.469,-0.953
159,0.660,-0.141,-0.566
160,0.297,-0.211,-1.289
161,0.254,-0.273,-1.062
162,0.352,0.070,-1.137
163,0.191,0.379,-0.973
164,-0.422,0.340,-0.973
165,-0.195,-0.488,-1.148
166,-0.223,-0.848,-1.004
167,-0.434,0.109,-0.926
168,-0.371,0.004,-0.855
169,-0.414,0.000,-0.918
170,-0.621,-0.277,-1.129
171,-0.211,-0.551,-1.125
172,-0.648,-0.055,-0.973
173,-1.008,0.473,-0.836
174,-0.672,0.484,-0.789
175,-0.730,0.277,-0.871
176,-0.363,0.027,-0.777
177,-0.305,0.016,-0.867
178,-0.465,0.156,-0.840
179,-0.434,-0.039,-0.727
180,-0.344,0.156,-0.977
181,-0.105,-0.211,-1.145
182,0.324,-0.219,-0.984
183,0.125,-0.133,-0.695
184,-0.207,-0.082,-0.754
185,0.062,-0.023,-0.844
186,0.473,-0.164,-1.102
187,0.469,0.004,-1.266
188,0.363,-0.059,-0.902
189,0.309,-0.184,-0.812
190,0.035,-0.035,-0.801
191,0.527,0.098,-0.930
192,0.398,0.156,-1.090
193,0.578,-0.152,-1.168
194,0.062,-0.129,-0.863
195,0.184,-0.266,-1.078
196,-0.121,-0.086,-0.898
197,0.230,0.293,-1.328
198,0.375,0.180,-0.930
199,0.375,0.180,-0.930
200,0.086,-0.012,-0.734
201,-0.145,-0.266,-0.852
202,-0.152,-0.055,-0.902
203,-0.395,0.391,-1.105
204,0.012,0.215,-1.184
205,-0.180,-0.141,-0.965
206,-0.270,-0.281,-1.012
207,-0.102,-0.246,-0.582
208,-0.551,0.180,-0.855
209,-0.480,0.289,-1.027
210,-0.090,-0.125,-1.008
211,0.020,-0.480,-0.988
212,-0.270,-0.371,-0.777
213,-0.250,0.074,-0.930
214,-0.355,0.348,-1.008
215,-0.285,0.008,-1.094
216,0.062,-0.301,-1.039
217,0.133,-0.168,-0.742
218,0.027,0.203,-0.965
219,-0.414,0.164,-0.875
220,-0.352,0.168,-1.195
221,-0.152,-0.004,-0.949
222,0.594,-0.332,-0.883
223,0.160,-0.055,-0.809
224,-0.148,-0.023,-0.746
225,-0.012,0.277,-0.840
226,-0.004,-0.004,-1.023
227,0.289,-0.227,-1.164
228,0.227,-0.336,-0.867
229,0.070,-0.250,-1.090
230,-0.004,0.348,-0.867
231,0.008,0.039,-0.898
232,0.066,0.285,-1.082
233,0.262,-0.492,-0.902
234,0.344,-0.332,-0.930
235,0.109,0.117,-0.922
236,-0.191,0.359,-0.855
237,-0.266,0.367,-0.957
238,0.008,-0.402,-1.223
239,0.383,-0.379,-1.105
240,0.121,-0.281,-1.008
241,-0.359,0.430,-0.660
242,-0.246,0.340,-0.895
243,0.152,-0.215,-0.957
244,0.102,-0.309,-1.148
245,0.148,-0.367,-1.066
246,-0.043,0.184,-0.879
247,-0.395,0.406,-0.969
248,-0.047,0.000,-0.922
249,0.023,-0.180,-1.113
250,0.195,-0.344,-1.027
251,0.020,0.016,-0.812
252,-0.238,0.328,-0.781
253,-0.539,0.383,-0.863
254,0.305,-0.184,-1.195
255,0.137,-0.441,-1.082
256,0.121,-0.023,-1.055
257,-0.406,0.164,-0.961
258,-0.422,0.391,-0.625
259,0.348,-0.242,-0.945
260,0.492,-0.301,-0.797
261,0.105,-0.199,-0.980
262,-0.312,0.074,-0.988
263,-0.305,0.246,-0.914
264,-0.074,0.008,-1.195
265,0.344,-0.242,-1.066
266,0.332,-0.188,-1.066
267,-0.168,-0.020,-0.723
268,-0.273,0.219,-0.605
269,-0.047,-0.055,-0.859
270,0.273,-0.055,-1.113
271,0.449,-0.012,-1.164
272,-0.145,-0.270,-1.133
273,-0.402,0.211,-0.914
274,-0.051,0.062,-0.887
275,0.117,0.098,-0.961
276,0.148,-0.062,-0.934
277,-0.016,-0.098,-0.754
278,-0.207,-0.059,-0.957
279,-0.465,-0.055,-0.949
280,0.059,0.027,-1.191
281,0.113,-0.207,-1.176
282,0.145,0.055,-0.957
283,-0.184,-0.180,-0.758
284,-0.297,0.125,-0.664
285,-0.117,0.066,-0.957
286,0.277,0.055,-1.105
287,0.086,0.027,-1.125
288,-0.141,-0.125,-0.832
289,-0.121,-0.027,-0.777
290,-0.020,-0.230,-0.961
291,0.016,0.152,-1.207
292,-0.004,-0.016,-1.043
293,0.090,-0.008,-0.934
294,-0.277,-0.250,-0.766
295,-0.148,-0.191,-1.012
296,-0.059,0.238,-0.848
297,0.039,0.023,-1.059
298,0.020,0.098,-0.832
299,-0.129,-0.246,-0.945
300,0.105,-0.129,-0.926
301,-0.332,0.047,-0.996
302,-0.191,0.113,-1.078
303,0.199,0.055,-0.961
304,0.102,-0.250,-0.879
305,0.219,-0.172,-0.664
306,-0.074,-0.176,-0.730
307,-0.305,0.422,-1.074
308,0.094,0.258,-1.098
309,0.160,-0.270,-1.262
310,0.133,-0.301,-1.293
311,-0.102,-0.188,-0.793
312,-0.234,0.234,-0.504
313,-0.145,0.129,-0.953
314,0.086,-0.035,-1.004
315,0.410,-0.379,-1.051
316,-0.062,-0.191,-1.086
317,-0.199,0.121,-0.992
318,-0.270,0.320,-0.934
319,-0.191,0.070,-0.887
320,0.285,-0.254,-1.043
321,0.539,-0.301,-0.992
322,0.004,-0.070,-0.762
323,-0.391,0.355,-0.570
324,-0.262,0.156,-0.918
325,-0.098,-0.199,-1.418
326,0.559,-0.309,-1.402
327,0.199,-0.270,-1.062
328,-0.375,0.309,-0.441
329,-0.449,0.285,-0.633
330,-0.145,-0.008,-0.871
331,0.582,-0.219,-1.266
332,0.254,-0.234,-1.141
333,-0.078,0.125,-0.809
334,-0.723,0.133,-0.719
335,-0.215,0.027,-1.133
336,0.105,-0.309,-1.133
337,-0.051,-0.152,-0.980
338,-0.645,0.352,-0.891
339,-0.926,-0.078,-0.758
340,-0.695,-0.215,-1.062
341,-0.668,-0.156,-1.289
342,-0.680,-0.250,-0.824
343,-1.094,0.246,-0.789
344,-1.098,-0.035,-0.883
345,-1.148,0.312,-1.215
346,-1.309,-0.109,-1.055
347,-1.160,-0.008,-1.055
348,-1.383,0.043,-0.793
349,-1.203,-0.125,-0.746
350,-1.211,0.023,-0.859
351,-1.426,0.109,-0.875
352,-1.027,-0.184,-0.910
353,-1.215,-0.176,-0.918
354,-1.012,-0.148,-0.859
355,-0.938,-0.230,-0.973
356,-0.902,-0.164,-0.984
357,-0.895,0.121,-0.832
358,-0.773,0.051,-0.793
359,-0.840,-0.180,-1.055
360,-0.715,-0.238,-0.957
361,-0.461,0.086,-1.066
362,-0.445,-0.082,-0.758
363,-0.527,0.109,-0.723
364,-0.578,-0.004,-0.844
365,-0.543,-0.344,-0.930
366,-0.430,0.336,-1.152
367,-0.395,-0.039,-1.055
368,-0.301,0.238,-0.961
369,-0.672,-0.074,-0.797
370,-0.562,0.062,-1.008
371,-0.266,0.023,-0.871
372,-0.660,0.000,-0.953
373,-0.641,0.125,-0.902
374,-0.645,-0.238,-1.000
375,-0.676,0.324,-1.137
376,-0.672,-0.195,-1.004
377,-0.684,0.066,-0.895
378,-0.809,0.398,-0.953
379,-0.750,-0.074,-0.742
380,-0.836,-0.340,-1.035
381,-1.000,-0.246,-0.840
382,-0.555,0.246,-1.008
383,-1.047,-0.020,-0.895
384,-1.188,-0.234,-1.117
385,-0.910,-0.230,-0.910
386,-0.711,-0.062,-0.961
387,-0.961,0.078,-0.820
388,-1.105,-0.031,-0.809
389,-0.852,-0.172,-0.984
390,-0.773,-0.254,-1.012
391,-0.672,-0.168,-1.031
392,-0.758,0.031,-0.805
393,-0.934,0.055,-0.895
394,-0.699,-0.098,-0.941
395,-0.617,-0.078,-1.031
396,-0.641,0.000,-0.926
397,-0.559,0.266,-0.953
398,-0.633,0.109,-0.902
399,-0.785,-0.094,-0.965
400,-0.516,-0.117,-0.922
401,-0.254,0.109,-0.844
402,-0.582,0.168,-0.938
403,-0.867,-0.004,-0.961
404,-0.625,-0.094,-0.996
405,-0.379,-0.086,-1.117
406,-0.426,-0.102,-0.965
407,-0.695,0.109,-0.816
408,-0.715,-0.066,-0.805
409,-0.543,-0.078,-0.926
410,-0.492,-0.168,-0.973
411,-0.621,-0.090,-1.012
412,-0.770,0.090,-0.996
413,-0.785,-0.133,-0.996
414,-0.691,-0.266,-1.004
415,-0.586,-0.160,-0.926
416,-0.543,0.168,-0.816
417,-0.855,0.062,-0.766
418,-0.977,-0.215,-0.934
419,-0.645,-0.207,-1.102
420,-0.547,0.070,-1.078
421,-0.809,0.250,-0.988
422,-1.016,-0.039,-0.914
423,-0.777,-0.230,-0.930
424,-0.629,0.012,-0.922
425,-0.668,0.230,-0.883
426,-0.879,0.172,-0.836
427,-0.969,-0.152,-0.941
428,-0.750,-0.172,-1.070
429,-0.621,0.012,-1.016
430,-0.633,0.121,-0.879
431,-0.711,-0.020,-0.840
432,-0.527,-0.125,-0.887
433,-0.246,-0.156,-0.871
434,-0.207,-0.074,-0.816
435,-0.211,0.047,-0.883
436,-0.270,0.023,-0.988
437,-0.027,-0.086,-1.078
438,0.262,-0.109,-1.020
439,0.336,-0.031,-0.820
440,0.227,0.148,-0.746
441,0.262,0.125,-0.848
