Sample,X,Y,Z
0,-0.012,-0.051,-1.086
1,-0.023,-0.016,-0.957
2,-0.027,-0.031,-0.957
3,-0.020,-0.023,-0.961
4,-0.016,-0.020,-0.953
5,-0.027,-0.031,-0.949
6,-0.027,-0.031,-0.953
7,-0.020,-0.039,-0.957
8,-0.012,-0.016,-0.957
9,-0.023,-0.027,-0.957
10,-0.027,-0.031,-0.949
11,-0.027,-0.031,-0.953
12,-0.016,-0.023,-0.949
13,-0.027,-0.023,-0.957
14,-0.020,-0.023,-0.953
15,-0.027,-0.027,-0.961
16,-0.016,-0.023,-0.957
17,-0.023,-0.027,-0.945
18,-0.027,-0.035,-0.957
19,-0.023,-0.020,-0.953
20,-0.031,-0.043,-0.957
21,-0.016,-0.031,-0.957
22,-0.023,-0.027,-0.961
23,-0.023,-0.027,-0.953
24,-0.020,-0.027,-0.965
25,-0.016,-0.023,-0.957
26,-0.020,-0.027,-0.965
27,-0.027,-0.027,-0.949
28,-0.023,-0.020,-0.957
29,-0.016,-0.027,-0.957
30,-0.016,-0.023,-0.961
31,-0.020,-0.016,-0.957
32,-0.027,-0.027,-0.961
33,-0.016,-0.031,-0.957
34,-0.020,-0.035,-0.957
35,-0.020,-0.023,-0.957
36,-0.023,-0.027,-0.957
37,-0.027,-0.020,-0.953
38,-0.016,-0.027,-0.957
39,-0.016,-0.031,-0.961
40,-0.051,-0.027,-0.953
41,-0.027,-0.020,-0.953
42,-0.020,-0.020,-0.953
43,-0.023,-0.035,-0.961
44,-0.027,-0.031,-0.965
45,-0.016,-0.023,-0.965
46,-0.020,-0.016,-0.949
47,-0.012,-0.031,-0.953
48,-0.020,-0.023,-0.953
49,-0.027,-0.035,-0.949
50,-0.023,-0.027,-0.953
51,-0.023,-0.027,-0.957
52,-0.020,-0.023,-0.957
53,-0.020,-0.027,-0.957
54,-0.023,-0.039,-0.953
55,-0.023,-0.035,-0.953
56,-0.020,-0.023,-0.957
57,-0.027,0.180,-0.945
58,-0.031,0.668,-0.973
59,0.031,0.988,-1.004
60,0.219,0.879,-1.016
61,0.383,0.734,-0.922
62,0.520,0.902,-0.785
63,0.512,1.172,-0.719
64,0.609,1.336,-0.820
65,0.734,1.129,-0.953
66,0.852,0.727,-1.070
67,0.965,0.652,-1.047
68,1.000,0.953,-0.988
69,1.129,1.328,-0.867
70,1.199,1.148,-0.820
71,1.289,0.711,-0.773
72,1.355,0.652,-0.801
73,1.227,0.797,-1.039
74,1.270,0.625,-1.309
75,1.438,0.426,-1.422
76,1.441,-0.031,-1.238
77,1.180,0.512,-0.941
78,1.211,1.133,-0.723
79,1.109,1.008,-0.828
80,0.938,0.355,-0.883
81,0.895,0.574,-1.113
82,0.930,1.145,-1.223
83,0.770,1.438,-1.059
84,0.516,0.504,-1.219
85,0.742,0.113,-0.969
86,0.820,0.910,-0.801
87,0.742,1.262,-0.750
88,0.473,0.680,-0.914
89,0.219,0.523,-1.102
90,0.656,0.457,-1.203
91,0.367,0.672,-1.070
92,0.355,0.797,-1.062
93,0.512,1.094,-0.871
94,0.453,0.918,-0.863
95,0.355,0.508,-0.828
96,0.512,0.496,-1.016
97,0.457,0.883,-0.914
98,0.301,0.812,-1.027
99,0.473,0.582,-1.020
100,0.707,0.168,-1.125
101,0.727,0.523,-0.875
102,0.742,0.887,-0.754
103,0.719,0.258,-0.695
104,0.641,0.051,-0.969
105,0.652,-0.098,-1.152
106,0.762,0.156,-1.246
107,0.605,-0.035,-1.070
108,0.387,0.035,-1.047
109,0.562,0.125,-0.914
110,0.293,-0.504,-0.977
111,0.137,-0.348,-0.742
112,0.188,-0.547,-1.133
113,0.176,-0.301,-0.988
114,-0.137,-0.211,-1.207
115,-0.281,-0.438,-1.051
116,-0.355,-0.730,-1.234
117,-0.668,-0.461,-0.691
118,-0.930,-0.035,-0.941
119,-0.680,0.062,-0.848
120,-0.535,-0.016,-1.086
121,-0.664,0.039,-0.871
122,-0.691,-0.012,-0.754
123,-0.855,0.000,-0.777
124,-0.566,0.500,-0.730
125,-0.590,0.461,-0.973
126,-0.453,-0.039,-0.949
127,-0.449,-0.188,-1.098
128,-0.156,0.062,-0.785
129,-0.266,0.086,-0.805
130,-0.293,0.242,-0.855
131,0.148,0.008,-0.918
132,0.148,-0.277,-1.066
133,-0.023,0.090,-0.957
134,0.098,0.270,-0.910
135,0.320,0.730,-0.863
136,0.238,-0.195,-1.031
137,0.047,-0.316,-0.906
138,0.250,-0.465,-1.055
139,0.301,-0.230,-0.934
140,0.477,0.062,-0.867
141,0.156,-0.070,-0.879
142,0.305,-0.020,-0.969
143,0.355,-0.008,-1.086
144,0.160,-0.234,-1.047
145,0.176,-0.285,-0.961
146,0.133,-0.055,-1.082
147,0.270,0.230,-0.922
148,-0.035,0.367,-0.941
149,-0.090,-0.031,-0.855
150,0.047,-0.145,-0.977
151,0.035,0.031,-0.945
152,-0.254,-0.320,-0.980
153,-0.539,0.449,-0.980
154,-0.137,-0.020,-1.121
155,-0.023,-0.273,-1.160
156,-0.172,-0.395,-0.836
157,-0.242,-0.008,-0.730
158,-0.359,0.348,-0.742
159,-0.348,-0.508,-1.016
160,-0.340,0.145,-1.172
161,-0.109,-0.297,-1.113
162,-0.059,-0.164,-0.934
163,-0.574,-0.062,-0.832
164,-0.383,0.152,-0.805
165,-0.035,0.805,-0.891
166,0.059,-0.480,-0.988
167,-0.117,-0.344,-0.844
168,-0.035,-0.328,-0.863
169,-0.129,0.426,-0.887
170,-0.062,0.281,-1.082
171,0.254,-0.254,-1.148
172,0.234,-0.352,-0.938
173,0.250,-0.207,-0.887
174,0.199,0.148,-0.793
175,0.016,0.105,-0.922
176,0.203,0.148,-1.121
177,0.477,-0.047,-1.172
178,0.430,-0.027,-1.016
179,0.277,0.078,-0.727
180,0.004,0.344,-0.883
181,0.148,0.055,-0.961
182,0.117,-0.180,-1.090
183,0.348,-0.281,-1.102
184,0.355,-0.379,-1.000
185,-0.133,0.000,-0.773
186,0.004,-0.238,-0.984
187,-0.109,0.070,-1.020
188,-0.086,-0.070,-0.969
189,0.164,-0.223,-1.059
190,-0.027,0.148,-1.098
191,-0.227,-0.066,-0.926
192,-0.234,0.059,-0.969
193,-0.031,-0.176,-0.887
194,0.207,-0.180,-0.973
195,-0.016,0.129,-0.906
196,-0.316,0.324,-0.840
197,-0.172,0.863,-1.043
198,-0.113,-0.520,-1.008
199,-0.211,-0.406,-0.895
200,0.008,-0.273,-0.965
201,0.055,0.285,-0.934
202,-0.055,0.293,-0.996
203,-0.156,-0.078,-0.969
204,0.008,-0.109,-1.000
205,0.016,-0.176,-0.934
206,-0.098,0.035,-0.961
207,-0.078,0.062,-0.945
208,-0.062,-0.117,-0.934
209,0.129,0.004,-0.816
210,0.078,-0.066,-0.926
211,0.105,0.023,-0.879
212,-0.156,0.191,-0.926
213,0.031,-0.098,-1.027
214,0.043,-0.273,-1.051
215,0.043,-0.328,-1.074
216,0.039,-0.273,-0.852
217,0.125,-0.312,-0.902
218,-0.121,0.324,-0.852
219,-0.102,0.117,-1.066
220,0.184,0.066,-0.957
221,-0.035,0.102,-1.117
222,-0.125,0.062,-0.867
223,-0.367,0.816,-0.844
224,-0.098,-0.332,-0.934
225,-0.023,-0.078,-0.863
226,-0.113,-0.242,-0.934
227,-0.125,-0.047,-0.969
228,-0.121,-0.055,-0.953
229,-0.102,-0.219,-0.941
230,-0.168,0.152,-1.078
231,-0.055,-0.156,-0.973
232,0.031,-0.254,-1.094
233,-0.129,-0.133,-0.805
234,-0.156,-0.012,-0.898
235,-0.152,0.219,-0.871
236,-0.090,0.141,-0.992
237,0.023,-0.227,-1.027
238,-0.129,0.016,-1.016
239,-0.109,-0.094,-0.914
240,-0.012,-0.141,-0.824
241,-0.121,0.047,-0.945
242,0.047,0.137,-1.020
243,0.180,-0.734,-0.996
244,-0.012,0.160,-0.863
245,-0.156,0.234,-0.820
246,0.020,0.160,-1.047
247,-0.141,0.039,-0.988
248,0.281,-0.223,-1.184
249,0.219,-0.109,-0.883
250,-0.113,-0.203,-0.797
251,-0.055,0.273,-0.754
252,0.152,0.188,-0.918
253,0.027,0.531,-1.078
254,0.277,-0.172,-1.141
255,-0.055,-0.406,-1.000
256,-0.082,-0.035,-0.996
257,-0.047,-0.168,-0.863
258,0.285,-0.055,-1.008
259,0.070,-0.273,-0.926
260,0.102,0.121,-1.035
261,0.023,0.039,-0.797
262,-0.180,-0.004,-0.980
263,0.105,0.004,-1.078
264,0.000,-0.375,-1.062
265,-0.234,0.324,-0.965
266,0.051,0.016,-0.875
267,0.078,0.074,-0.992
268,0.008,-0.086,-0.895
269,0.020,-0.203,-0.836
270,0.023,-0.297,-0.855
271,0.020,-0.152,-1.027
272,-0.035,0.039,-0.992
273,-0.113,-0.152,-1.090
274,-0.152,0.191,-1.168
275,0.230,-0.141,-0.961
276,0.023,-0.129,-0.840
277,-0.188,0.160,-0.848
278,0.020,0.062,-0.816
279,0.027,0.191,-0.938
280,-0.160,0.008,-0.949
281,-0.133,0.316,-1.082
282,0.137,-0.078,-1.055
283,-0.074,-0.371,-0.898
284,-0.121,-0.051,-0.875
285,0.070,-0.156,-0.859
286,0.309,0.207,-0.844
287,0.055,-0.141,-0.988
288,0.035,0.102,-1.066
289,-0.191,0.051,-1.074
290,-0.254,0.027,-1.109
291,0.191,-0.215,-1.035
292,0.137,-0.023,-0.945
293,0.145,-0.176,-0.797
294,0.027,0.035,-0.621
295,-0.051,0.090,-0.941
296,-0.367,-0.039,-0.914
297,-0.070,-0.355,-1.453
298,0.223,-0.102,-1.113
299,0.105,-0.281,-0.910
300,-0.234,0.301,-0.762
301,-0.254,0.105,-0.629
302,0.070,-0.082,-0.938
303,0.070,-0.363,-0.895
304,-0.410,-0.227,-1.203
305,-0.094,0.281,-1.113
306,-0.168,0.227,-1.098
307,-0.145,0.223,-0.980
308,0.078,-0.242,-0.605
309,0.258,-0.078,-0.586
310,-0.215,-0.008,-0.801
311,-0.207,0.184,-1.070
312,-0.141,0.262,-1.328
313,-0.008,-0.133,-1.312
314,0.066,-0.387,-1.047
315,-0.074,-0.414,-0.793
316,-0.332,0.293,-0.605
317,0.066,0.191,-0.746
318,0.195,0.133,-0.938
319,-0.125,-0.109,-1.086
320,-0.020,-0.164,-1.152
321,0.086,-0.129,-1.074
322,-0.422,-0.145,-0.930
323,-0.020,0.074,-0.910
324,0.191,-0.141,-0.902
325,0.312,-0.020,-0.883
326,-0.047,-0.102,-0.840
327,-0.145,0.109,-0.867
328,-0.211,0.094,-1.055
329,0.043,-0.125,-1.129
330,0.332,-0.352,-1.148
331,0.191,-0.738,-0.871
332,-0.152,-0.680,-0.734
333,-0.320,-0.699,-0.582
334,-0.289,-1.250,-1.121
335,-0.449,-0.742,-1.309
336,-0.406,-1.148,-1.266
337,-0.520,-1.047,-1.152
338,-1.035,-0.988,-0.836
339,-0.996,-0.805,-0.777
340,-0.820,-0.633,-0.684
341,-1.242,-1.332,-0.992
342,-1.215,-1.340,-0.973
343,-1.230,-1.188,-1.137
344,-1.500,-0.715,-1.109
345,-1.559,-1.281,-0.992
346,-1.312,-1.215,-0.871
347,-1.453,-1.047,-0.738
348,-1.340,-0.672,-0.715
349,-1.145,-0.641,-0.750
350,-1.391,-0.719,-0.867
351,-1.414,-0.270,-1.062
352,-1.070,-0.547,-1.148
353,-0.754,-0.848,-1.027
