Sample,X,Y,Z
0,-0.312,0.293,-1.184
1,0.094,0.281,-0.910
2,-0.520,-0.242,-0.648
3,-0.844,-1.219,-0.590
4,-0.562,-1.594,-0.773
5,0.590,-0.918,-0.941
6,1.723,-0.461,-0.832
7,1.250,-0.684,-0.770
8,0.473,-0.863,-1.078
9,0.680,-0.332,-1.219
10,1.258,-0.062,-1.434
11,1.852,0.035,-1.012
12,1.250,-1.148,-0.406
13,0.688,-1.992,-0.949
14,0.785,-1.953,-0.984
15,1.492,-0.773,-0.730
16,1.559,-0.250,-0.879
17,0.883,-0.473,-1.059
18,0.500,-0.742,-1.367
19,0.668,-1.715,-1.352
20,0.684,-1.184,-0.977
21,0.312,-0.793,-0.676
22,-0.102,-1.387,-0.703
23,-0.320,-1.883,-0.793
24,-0.430,-1.922,-0.832
25,-0.176,-1.227,-0.891
26,0.234,0.047,-1.281
27,0.293,0.426,-1.406
28,-0.012,-0.227,-1.426
29,-0.613,-0.598,-1.312
30,-0.273,-0.391,-1.016
31,-0.273,-0.070,-0.582
32,-1.242,-0.578,-0.477
33,-1.832,-0.918,-0.652
34,-1.340,-1.105,-0.836
35,-0.383,-0.711,-1.004
36,-0.398,-0.484,-1.176
37,-0.961,-1.172,-1.172
38,-0.973,-1.543,-1.094
39,-0.375,-0.812,-0.953
40,0.211,-0.273,-0.699
41,-0.133,0.027,-0.672
42,-0.422,-0.332,-0.715
43,-0.258,-0.480,-1.051
44,0.062,0.234,-1.055
45,0.473,0.309,-1.059
46,0.152,0.262,-0.949
47,0.023,-0.855,-0.840
48,0.047,-0.906,-0.914
49,0.254,-0.402,-0.902
50,0.332,-0.289,-0.707
51,0.371,-1.301,-1.012
52,0.387,-1.168,-1.152
53,0.551,-1.605,-1.113
54,0.645,-1.461,-0.707
55,0.316,-0.664,-0.801
56,0.348,-0.301,-1.117
57,0.453,0.117,-1.203
58,0.609,0.074,-1.234
59,0.773,0.516,-1.250
60,0.352,0.738,-0.926
61,-0.312,0.836,-0.699
62,-0.562,0.738,-0.695
63,-0.523,1.312,-0.750
64,-0.090,0.855,-0.773
65,0.039,0.609,-1.035
66,-0.145,1.137,-1.500
67,-0.273,0.754,-1.160
68,-0.121,1.004,-0.840
69,0.129,1.289,-0.875
70,0.387,1.086,-0.801
71,-0.109,1.207,-0.738
72,-0.359,1.016,-1.086
73,0.059,0.859,-1.137
74,0.188,0.781,-1.219
75,-0.207,1.320,-0.961
76,-0.531,1.039,-0.852
77,-0.598,1.230,-0.895
78,-0.477,1.273,-0.758
79,-0.227,0.906,-0.758
80,-0.395,0.672,-0.844
81,-0.258,0.895,-1.051
82,0.000,0.434,-1.109
83,0.129,-0.223,-0.961
84,-0.047,-0.086,-0.832
85,-0.152,0.148,-0.809
86,-0.082,0.383,-0.965
87,-0.098,0.527,-1.008
88,0.062,0.535,-1.039
89,0.242,0.480,-1.016
90,-0.062,0.359,-1.004
91,-0.332,0.406,-0.996
92,-0.191,0.527,-1.004
93,0.098,1.109,-0.875
94,0.352,1.281,-0.980
95,0.133,0.969,-0.926
96,-0.086,0.984,-0.867
97,-0.020,0.805,-0.863
98,0.234,0.418,-0.895
99,0.234,0.262,-0.980
100,0.055,0.535,-0.992
101,0.102,0.738,-1.047
102,-0.008,0.996,-0.980
103,-0.027,0.988,-0.914
104,0.105,0.711,-0.980
105,-0.102,0.801,-0.992
106,-0.188,0.984,-1.012
107,0.090,0.766,-0.957
108,0.082,0.664,-0.934
109,-0.184,1.078,-0.906
110,-0.180,1.566,-0.934
111,-0.367,1.172,-0.992
112,-0.867,0.438,-1.074
113,-1.109,0.207,-1.090
114,-0.922,0.359,-1.000
115,-0.840,0.500,-0.934
116,-1.195,0.125,-0.789
117,-1.578,-0.258,-0.809
118,-1.383,-0.848,-0.996
119,-0.844,-0.320,-0.973
120,-0.574,0.219,-0.914
121,-0.574,0.395,-0.879
122,-0.699,1.719,-1.004
123,-0.457,1.859,-1.191
124,0.844,1.578,-0.922
125,1.363,1.113,-0.328
126,0.215,1.020,-0.199
127,-0.312,1.391,-0.746
128,0.566,1.801,-1.480
129,1.746,1.328,-1.609
130,1.992,0.457,-1.551
131,1.527,0.113,-0.691
132,0.449,0.047,0.039
133,0.691,1.027,-0.930
134,1.508,-0.305,-1.141
135,1.988,-0.164,-1.312
136,1.555,0.637,-1.336
137,0.688,1.719,-1.117
138,0.359,1.980,-1.184
139,0.359,1.980,-1.184
140,0.590,0.859,-0.840
141,0.469,-0.109,-0.602
142,0.039,-0.555,-0.586
143,0.043,0.727,-1.480
144,0.074,1.672,-1.203
145,0.566,1.078,-1.301
146,0.266,-0.746,-1.117
147,-0.090,-0.754,-0.867
148,-0.770,0.219,-0.832
149,-0.965,1.203,-0.633
150,-0.867,0.121,-0.758
151,-0.523,-0.363,-1.043
152,-0.660,0.520,-1.188
153,-1.117,1.297,-1.160
154,-1.230,0.723,-1.188
155,-1.000,0.469,-0.746
156,-1.141,1.059,-0.691
157,-1.043,1.391,-0.734
158,-1.059,1.516,-0.809
159,-0.727,0.824,-0.996
160,0.012,0.609,-1.105
161,0.020,0.770,-1.059
162,-0.402,1.125,-0.922
163,-0.504,0.906,-0.828
164,-0.160,0.590,-0.891
165,0.371,0.676,-0.863
166,0.359,0.695,-0.754
167,0.344,0.746,-0.863
168,0.055,0.375,-0.941
169,0.145,1.043,-1.188
170,0.867,1.023,-1.277
171,0.930,0.387,-0.918
172,0.094,0.621,-0.586
173,0.082,0.699,-0.809
174,0.512,0.969,-0.930
175,0.598,0.957,-0.992
176,0.707,0.273,-1.207
177,0.688,-0.508,-1.234
178,0.344,-0.996,-0.945
179,0.207,-0.926,-0.715
180,0.305,-0.746,-0.766
181,0.352,-1.379,-0.949
182,0.102,-1.625,-1.102
183,0.172,-1.559,-1.277
184,0.289,-1.055,-1.188
185,0.117,-0.727,-0.984
186,-0.359,-1.305,-0.816
187,-0.359,-1.664,-0.777
188,-0.645,-1.113,-0.773
189,-0.598,-0.695,-0.941
190,-0.164,-0.672,-1.188
191,-0.180,-0.734,-1.176
192,-0.164,-0.699,-1.121
193,-0.355,-0.699,-0.836
194,-0.570,-0.711,-0.656
195,-0.668,-0.703,-0.773
196,-0.273,-0.965,-0.965
197,-0.164,-1.453,-1.039
198,-0.273,-1.125,-0.930
199,-0.148,-0.727,-0.910
200,-0.176,-0.660,-0.922
201,-0.234,-0.641,-0.887
202,-0.098,-0.895,-0.902
203,0.070,-0.551,-0.953
204,0.000,-0.449,-0.938
205,0.215,-0.719,-0.820
206,0.289,-0.418,-1.219
207,0.234,-0.676,-1.129
208,0.180,-0.758,-0.934
209,0.121,-0.363,-0.898
210,0.109,-0.352,-0.848
211,0.344,-0.559,-0.938
212,0.270,-0.688,-0.891
213,0.082,-0.082,-0.891
214,-0.035,-0.758,-0.973
215,0.059,-0.824,-1.078
216,0.129,-0.785,-1.016
217,0.109,-0.820,-0.891
218,-0.066,-0.500,-0.848
219,-0.172,-0.945,-0.902
220,-0.027,-0.715,-0.938
221,0.105,-0.770,-1.047
222,0.000,-0.926,-1.031
223,-0.324,-0.777,-1.047
224,-0.320,-0.820,-1.059
225,-0.184,-0.965,-0.910
226,-0.227,-0.703,-0.809
227,-0.270,-0.719,-0.789
228,-0.211,-1.035,-0.844
229,-0.129,-1.629,-1.004
230,0.105,-1.992,-0.875
231,-0.074,-1.977,-0.727
232,-0.520,-0.680,-1.016
233,-0.996,0.156,-1.215
234,-0.930,-0.164,-1.430
235,-0.438,-0.840,-1.426
236,-0.570,-1.363,-0.945
237,-1.387,-0.777,-0.500
238,-1.977,0.090,-0.434
239,-1.512,1.578,-0.914
240,-0.355,0.754,-1.230
241,0.047,0.332,-0.996
242,-0.430,-0.129,-0.781
243,-0.754,-1.098,-0.766
244,-0.492,-1.750,-0.793
245,0.375,-1.012,-0.875
246,1.375,-0.316,-0.734
247,1.238,-0.652,-0.680
248,0.438,-0.805,-1.051
249,0.652,-0.559,-1.234
250,1.285,0.047,-1.246
251,1.922,-0.070,-1.098
252,1.215,-0.773,-0.535
253,0.754,-1.957,-1.016
254,0.680,-1.992,-1.156
255,1.391,-1.074,-0.730
256,1.691,-0.422,-0.801
257,0.973,-0.605,-1.016
258,0.445,-0.715,-1.262
259,0.750,-1.016,-1.289
260,0.934,-1.055,-0.996
261,0.438,-1.141,-0.871
262,-0.363,-1.688,-0.777
263,-0.371,-1.953,-0.754
264,-0.168,-1.547,-0.844
265,-0.176,-1.273,-0.906
266,0.035,-0.988,-0.898
267,-0.090,-0.344,-1.383
268,-0.273,0.262,-1.434
269,-0.098,0.027,-1.355
270,0.090,-0.191,-1.109
271,-0.230,-0.152,-0.930
272,-1.059,-0.445,-0.586
273,-1.809,-0.938,-0.457
274,-1.520,-0.723,-0.645
275,-0.508,-0.992,-0.930
276,-0.309,-0.754,-1.105
277,-0.969,-0.809,-1.098
278,-0.926,-1.336,-1.230
279,-0.320,-1.023,-1.059
280,0.059,-0.727,-0.922
281,0.211,-0.055,-0.625
282,-0.215,-0.148,-0.555
283,-0.566,0.082,-0.863
284,-0.086,0.031,-1.152
285,0.500,0.203,-1.113
286,0.312,0.180,-1.004
287,0.012,-0.266,-0.930
288,-0.031,-1.078,-0.828
289,0.121,-1.133,-0.652
290,0.258,-0.742,-0.820
291,0.414,-0.527,-1.141
292,0.375,-1.020,-1.238
293,0.484,-1.309,-1.145
294,0.621,-1.262,-0.855
295,0.434,-0.832,-0.625
296,0.219,-0.844,-0.852
297,0.180,-0.281,-1.141
298,0.434,-0.383,-1.223
299,0.523,1.203,-1.289
300,0.902,1.008,-1.246
301,0.105,0.629,-0.863
302,-0.711,0.988,-0.789
303,-0.629,1.293,-0.602
304,-0.340,0.969,-0.613
305,-0.207,0.434,-0.770
306,-0.020,0.844,-1.094
307,-0.066,1.383,-1.371
308,-0.082,0.578,-1.156
309,0.086,1.043,-0.914
310,0.402,0.781,-0.992
311,0.098,1.430,-0.922
312,-0.270,1.238,-0.910
313,-0.102,0.547,-0.996
314,0.117,1.141,-0.973
315,-0.133,1.262,-0.961
316,-0.355,1.066,-0.891
317,-0.418,1.082,-0.980
318,-0.234,1.238,-0.938
319,-0.273,1.262,-0.832
320,-0.430,0.938,-0.785
321,-0.555,0.422,-0.883
322,-0.125,0.387,-0.980
323,0.219,0.176,-0.949
324,-0.031,-0.090,-0.926
325,-0.176,-0.074,-0.902
326,-0.008,0.402,-0.941
327,0.035,0.719,-1.047
328,0.105,0.199,-0.996
329,0.102,0.172,-0.898
330,-0.059,0.453,-0.969
331,-0.238,0.715,-1.086
332,-0.191,0.656,-1.090
333,0.027,0.441,-0.941
334,0.211,1.457,-0.926
335,0.164,1.695,-1.008
336,-0.109,0.965,-0.812
337,-0.207,0.645,-0.844
338,0.195,0.301,-0.832
339,0.344,0.359,-0.863
340,-0.094,0.500,-1.023
341,-0.066,0.492,-1.109
342,0.277,0.480,-1.105
343,0.238,0.727,-0.961
344,-0.027,1.113,-0.852
345,-0.254,1.082,-0.926
346,-0.238,1.156,-1.051
347,0.113,0.895,-1.062
348,0.148,0.574,-0.953
349,-0.176,0.906,-0.906
350,-0.266,1.500,-0.910
351,-0.309,1.141,-0.945
352,-0.727,0.590,-0.969
353,-1.191,0.215,-1.031
354,-0.938,0.129,-1.082
355,-0.590,0.543,-1.055
356,-0.934,0.309,-0.836
357,-1.492,-0.156,-0.746
358,-1.680,-0.672,-0.867
359,-1.172,-0.375,-1.016
360,-0.449,0.254,-1.020
361,-0.371,0.262,-0.965
362,-0.672,1.684,-0.945
363,-0.648,1.953,-1.113
364,0.473,1.457,-0.957
365,1.328,0.973,-0.492
366,0.613,1.039,-0.137
367,-0.023,1.500,-0.488
368,0.488,1.770,-1.402
369,1.480,1.352,-1.621
370,1.977,0.203,-1.719
371,1.762,0.102,-0.875
372,0.777,0.676,-0.195
373,0.469,0.750,-0.652
374,1.266,-0.285,-1.062
375,1.750,-0.383,-1.160
376,1.598,0.539,-1.340
377,0.961,1.449,-1.156
378,0.398,1.973,-1.184
379,0.664,1.398,-1.082
380,0.699,0.055,-0.715
381,0.051,-0.609,-0.430
382,-0.328,-0.039,-1.180
383,0.066,1.445,-0.980
384,0.438,1.730,-1.297
385,0.332,-0.395,-1.539
386,0.070,-1.020,-0.844
387,-0.535,0.918,-0.809
388,-1.039,1.094,-0.531
389,-1.055,-0.312,-0.723
390,-0.660,-0.625,-0.922
391,-0.355,0.098,-1.207
392,-0.695,1.465,-1.184
393,-1.332,1.523,-1.293
394,-1.066,0.477,-0.895
395,-0.977,0.531,-0.684
396,-1.094,1.367,-0.703
397,-1.148,1.738,-0.598
398,-0.680,1.332,-1.031
399,-0.297,0.605,-0.977
400,0.004,0.180,-1.238
401,-0.211,0.363,-1.090
402,-0.363,1.336,-0.887
403,-0.039,0.863,-0.902
404,0.051,0.531,-0.785
405,0.285,0.316,-0.766
406,0.426,0.578,-0.734
407,0.094,1.379,-0.996
408,0.156,1.113,-1.078
409,0.676,0.547,-1.121
410,0.785,-0.578,-1.180
411,0.453,1.008,-0.844
412,0.148,1.738,-0.520
413,0.352,1.277,-0.902
414,0.402,0.547,-0.914
415,0.578,0.055,-1.238
416,0.898,-0.340,-1.277
417,0.512,-0.887,-0.988
418,0.137,-0.828,-0.812
419,0.160,-1.258,-0.926
420,0.324,-1.328,-0.941
421,0.184,-1.180,-1.000
422,-0.020,-1.227,-1.078
423,0.285,-1.371,-1.094
424,-0.039,-1.012,-0.973
425,-0.172,-0.789,-0.848
426,-0.176,-1.133,-0.840
427,-0.367,-1.777,-0.852
428,-0.551,-1.223,-0.977
429,-0.297,-0.695,-1.262
430,-0.207,-0.379,-1.176
431,-0.328,-0.785,-1.094
432,-0.453,-0.625,-0.781
433,-0.539,-0.551,-0.637
434,-0.648,-0.566,-0.727
435,-0.461,-0.984,-0.941
436,-0.059,-1.410,-1.023
437,0.039,-1.492,-0.934
438,-0.094,-0.809,-0.969
439,-0.113,-0.543,-0.906
440,-0.242,-0.906,-0.844
441,-0.199,-1.031,-0.980
442,-0.105,-0.418,-0.914
443,0.242,-0.398,-0.863
444,0.309,-0.465,-0.965
445,0.078,-0.645,-0.961
446,0.184,-0.539,-1.176
447,0.273,-0.348,-1.109
448,0.160,-0.723,-0.824
449,-0.051,-0.488,-0.914
450,0.199,-0.469,-0.852
451,0.352,-0.809,-1.031
452,0.020,-0.574,-0.832
453,-0.031,-0.266,-0.887
454,0.145,-0.656,-1.098
455,0.156,-0.988,-1.008
456,0.121,-1.047,-0.895
457,-0.016,-0.863,-0.883
458,-0.125,-0.477,-0.887
459,-0.098,-0.262,-0.945
460,0.098,-0.832,-1.113
461,0.027,-1.137,-1.055
462,-0.332,-0.777,-0.977
463,-0.328,-0.738,-0.898
464,-0.148,-0.672,-0.910
465,-0.273,-0.715,-0.922
466,-0.273,-1.211,-0.891
467,-0.098,-1.199,-0.895
468,-0.215,-0.988,-0.906
469,-0.004,-1.938,-0.895
470,-0.062,-1.992,-0.695
471,-0.578,-1.727,-0.840
472,-0.902,-0.125,-1.281
473,-0.918,0.430,-1.430
474,-0.457,-0.391,-1.457
475,-0.391,-1.434,-1.199
476,-1.145,-1.227,-0.469
477,-1.891,0.172,-0.281
478,-1.848,1.828,-0.840
479,-0.574,0.824,-1.277
480,0.191,0.176,-1.145
481,-0.195,-0.195,-0.793
482,-0.715,-0.641,-0.707
483,-0.754,-1.473,-0.723
484,0.031,-1.492,-0.883
485,1.508,-0.883,-0.871
486,1.512,-0.383,-0.586
487,0.738,-0.629,-0.781
488,0.520,-0.152,-1.230
489,1.066,-0.574,-1.668
490,1.879,-0.398,-1.027
491,1.445,-1.484,-0.453
492,0.629,-1.844,-0.992
493,0.922,-1.824,-0.867
494,1.219,-0.832,-0.699
495,1.234,-0.656,-0.812
496,1.090,-0.543,-0.887
497,0.586,-0.352,-1.398
498,0.598,-1.199,-1.453
499,0.949,-1.250,-1.215
500,0.531,-1.160,-0.770
501,-0.238,-1.340,-0.461
502,-0.617,-1.957,-0.660
503,-0.578,-1.742,-0.785
504,-0.047,-1.414,-1.070
505,0.449,-0.648,-1.320
506,0.438,0.051,-1.387
507,-0.254,0.078,-1.223
508,-0.766,0.035,-1.340
509,-0.141,-0.281,-1.098
510,-0.059,-0.070,-0.645
511,-1.023,-0.758,-0.566
512,-1.801,-1.039,-0.609
513,-1.398,-0.934,-0.859
514,-0.453,-1.262,-0.980
515,-0.418,-0.500,-1.078
516,-0.863,-0.840,-1.086
517,-0.746,-1.070,-1.137
518,-0.305,-0.785,-1.055
519,0.129,-0.383,-0.766
