Sample,X,Y,Z
0,-0.344,0.062,-0.938
1,0.770,-0.262,-1.297
2,1.191,0.770,-1.289
3,1.391,1.316,-0.922
4,1.516,0.777,-0.605
5,1.145,-0.934,-0.906
6,0.668,-0.594,-0.938
7,1.336,0.254,-0.770
8,1.914,0.117,-0.938
9,1.617,-0.254,-0.965
10,1.410,-0.125,-1.051
11,1.371,-0.438,-1.098
12,1.398,-0.500,-1.172
13,1.297,-0.004,-0.988
14,1.152,-0.125,-0.859
15,0.945,-0.312,-0.957
16,0.543,-0.332,-1.090
17,0.879,0.234,-1.066
18,1.457,0.559,-0.957
19,1.004,0.324,-0.875
20,0.422,-0.070,-0.859
21,0.172,-0.254,-0.930
22,0.527,-0.281,-1.016
23,0.676,0.078,-1.016
24,0.453,0.230,-1.070
25,0.363,-0.113,-1.062
26,0.059,-0.523,-1.059
27,0.051,0.023,-0.941
28,0.316,0.016,-0.879
29,0.426,-0.262,-0.863
30,0.016,-0.598,-0.957
31,0.121,-0.352,-0.965
32,0.441,-0.230,-1.055
33,0.305,-0.047,-0.957
34,-0.176,0.152,-1.062
35,-0.652,0.047,-1.102
36,-0.621,-0.215,-1.113
37,-0.449,-0.434,-1.070
38,-0.500,-0.270,-0.738
39,-0.891,0.238,-0.664
40,-1.164,0.109,-0.992
41,-1.109,-0.406,-1.160
42,-0.660,0.301,-1.246
43,-0.672,0.590,-1.035
44,-1.332,0.176,-0.809
45,-1.906,0.070,-0.746
46,-1.730,0.398,-0.742
47,-1.355,0.297,-0.867
48,-1.328,0.414,-0.930
49,-1.539,0.137,-0.918
50,-1.484,0.008,-0.992
51,-1.262,0.188,-1.004
52,-1.109,-0.062,-0.867
53,-1.086,-0.188,-0.711
54,-1.164,-0.051,-0.848
55,-0.973,0.160,-0.949
56,-0.664,0.148,-0.980
57,-0.715,-0.184,-1.023
58,-0.305,-0.227,-0.887
59,-0.379,-0.043,-0.867
60,-0.738,0.227,-0.988
61,-0.512,0.113,-0.887
62,-0.359,-0.133,-1.004
63,-0.641,-0.258,-0.867
64,-0.598,-0.156,-0.887
65,-0.430,-0.211,-0.941
66,-0.438,-1.625,-0.934
67,-0.918,-1.992,-0.711
68,-1.250,-1.680,-0.664
69,-1.234,-1.172,-1.086
70,-0.973,-1.000,-1.371
71,0.105,-1.758,-1.227
72,0.305,-1.809,-0.730
73,-0.617,-1.277,-0.648
74,-1.449,-0.277,-0.738
75,-1.121,0.094,-1.051
76,0.117,-1.383,-1.359
77,0.316,-1.719,-1.016
78,-0.371,-0.977,-0.746
79,-0.820,0.062,-0.891
80,-0.723,-0.012,-1.156
81,-0.371,-0.836,-0.980
82,0.344,-1.672,-0.938
83,0.391,-0.641,-0.691
84,0.074,0.746,-0.852
85,-0.016,0.109,-0.770
86,0.324,-1.508,-0.910
87,0.250,-1.434,-0.785
88,0.789,-0.641,-0.941
89,1.137,0.406,-1.219
90,0.582,-0.391,-0.973
91,0.035,-1.676,-0.840
92,0.109,-1.652,-0.789
93,0.211,0.129,-1.062
94,0.219,0.742,-0.973
95,0.230,0.320,-1.270
96,0.402,-0.477,-1.348
97,0.426,-0.039,-0.840
98,-0.262,1.367,-0.777
99,-0.609,1.500,-0.750
100,-0.230,0.711,-0.801
101,-0.031,0.641,-0.965
102,0.273,1.309,-1.148
103,0.098,1.965,-0.957
104,-0.391,1.379,-0.922
105,-0.445,0.668,-0.941
106,-0.121,0.496,-0.945
107,-0.090,1.031,-0.863
108,-0.207,1.164,-0.895
109,-0.098,0.832,-1.059
110,0.051,0.641,-1.133
111,0.121,0.789,-1.066
112,0.227,1.285,-0.898
113,0.121,1.254,-0.836
114,-0.234,0.695,-0.887
115,-0.113,0.402,-0.938
116,0.367,0.699,-1.051
117,0.414,0.945,-0.941
118,0.059,0.766,-0.934
119,0.074,0.305,-0.969
120,0.238,0.293,-1.004
121,0.199,1.156,-0.938
122,0.098,1.445,-0.902
123,-0.414,0.781,-1.035
124,-1.109,-0.133,-1.223
125,-1.043,-0.293,-1.223
126,-0.484,-0.223,-0.977
127,-0.559,-0.027,-0.809
128,-1.246,-0.539,-0.684
129,-1.719,-0.957,-0.930
130,-1.285,-0.922,-1.188
131,-0.801,-0.211,-1.133
132,-0.879,0.129,-1.008
