freq,psd_x,psd_y,psd_z,psd_xyz
161.3,9.911e+04,1.032e+04,1.220e+05,2.314e+05
162.8,8.979e+04,1.183e+04,9.109e+04,1.927e+05
164.3,1.043e+05,1.277e+04,9.268e+04,2.097e+05
165.9,1.190e+05,1.375e+04,1.017e+05,2.344e+05
167.4,1.292e+05,1.495e+04,1.203e+05,2.645e+05
168.9,1.505e+05,1.619e+04,1.474e+05,3.141e+05
170.5,1.687e+05,1.654e+04,1.485e+05,3.338e+05
172.0,1.823e+05,1.798e+04,1.544e+05,3.547e+05
173.6,2.170e+05,2.162e+04,1.715e+05,4.101e+05
175.1,2.369e+05,2.383e+04,1.838e+05,4.445e+05
176.6,2.383e+05,2.431e+04,1.954e+05,4.580e+05
178.2,2.235e+05,2.396e+04,1.998e+05,4.473e+05
179.7,2.271e+05,2.463e+04,2.004e+05,4.522e+05
181.2,2.397e+05,2.630e+04,2.060e+05,4.720e+05
182.8,2.475e+05,2.753e+04,2.216e+05,4.966e+05
184.3,2.615e+05,2.672e+04,2.146e+05,5.028e+05
185.8,2.710e+05,2.529e+04,2.059e+05,5.022e+05
187.4,2.800e+05,2.650e+04,2.217e+05,5.282e+05
188.9,2.771e+05,2.689e+04,2.313e+05,5.353e+05
190.5,2.613e+05,2.543e+04,2.351e+05,5.218e+05
192.0,2.651e+05,2.533e+04,2.580e+05,5.485e+05
193.5,2.691e+05,2.428e+04,2.743e+05,5.677e+05
195.1,2.683e+05,2.287e+04,2.880e+05,5.791e+05
196.6,2.589e+05,2.189e+04,2.991e+05,5.798e+05
198.1,2.271e+05,2.119e+04,3.073e+05,5.557e+05
199.7,1.413e+05,1.411e+04,2.025e+05,3.579e+05
