freq,psd_x,psd_y,psd_z,psd_xyz
156.7,5.554e+05,2.480e+04,3.204e+05,9.006e+05
158.2,5.694e+05,2.120e+04,2.898e+05,8.804e+05
159.7,6.442e+05,2.382e+04,2.559e+05,9.239e+05
161.3,7.989e+05,3.481e+04,2.890e+05,1.123e+06
162.8,9.197e+05,3.663e+04,3.253e+05,1.282e+06
164.3,1.061e+06,3.539e+04,3.952e+05,1.492e+06
165.9,1.110e+06,3.309e+04,4.461e+05,1.589e+06
167.4,1.173e+06,3.355e+04,4.911e+05,1.697e+06
168.9,1.251e+06,3.587e+04,5.306e+05,1.818e+06
170.5,1.333e+06,3.826e+04,5.653e+05,1.936e+06
172.0,1.430e+06,4.140e+04,5.916e+05,2.063e+06
173.5,1.516e+06,4.342e+04,6.082e+05,2.168e+06
175.1,1.582e+06,4.404e+04,6.275e+05,2.254e+06
176.6,1.663e+06,4.483e+04,6.600e+05,2.368e+06
178.2,1.767e+06,4.495e+04,7.063e+05,2.518e+06
179.7,1.927e+06,4.559e+04,7.598e+05,2.732e+06
181.2,2.098e+06,4.729e+04,8.031e+05,2.948e+06
182.8,2.232e+06,4.819e+04,8.338e+05,3.114e+06
184.3,2.359e+06,4.969e+04,8.690e+05,3.278e+06
185.8,2.507e+06,5.456e+04,9.032e+05,3.465e+06
187.4,2.618e+06,6.075e+04,9.016e+05,3.580e+06
188.9,2.579e+06,6.142e+04,8.913e+05,3.532e+06
190.4,2.568e+06,6.180e+04,9.082e+05,3.538e+06
192.0,2.598e+06,6.448e+04,9.506e+05,3.614e+06
193.5,2.600e+06,6.583e+04,9.726e+05,3.638e+06
195.1,2.617e+06,6.518e+04,1.000e+06,3.683e+06
196.6,2.476e+06,5.893e+04,1.014e+06,3.549e+06
198.1,2.201e+06,5.311e+04,1.005e+06,3.259e+06
199.7,1.236e+06,3.624e+04,6.093e+05,1.882e+06
